osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,name,width,tunnel,access,junction
232605719,True,2,motorway,100,False,710.3699999999999,"LINESTRING (6.7751039 51.3734614, 6.7750203 51.3732303, 6.7749017 51.3729641, 6.774563 51.3723208, 6.7741962 51.3717518, 6.7739115 51.3713868, 6.7736118 51.3710219, 6.7727233 51.3701361, 6.7713508 51.3688625, 6.7708841 51.368423, 6.7705627 51.3681044, 6.7703385 51.3678564)",A 59,,,,,,
"[9861336, 231812283]",True,"['1', '2']",motorway_link,,False,303.152,"LINESTRING (6.7740971 51.3863963, 6.7740277 51.3859076, 6.7740027 51.3852478, 6.773979 51.3848022, 6.7739804 51.38431, 6.7740192 51.3836728)",,,,,,,
"[232605730, 4451661, 28029725, 9641598, 9641599]",True,"['3', '2']",motorway,100,False,1443.5929999999998,"LINESTRING (6.7740971 51.3863963, 6.7744048 51.3836094, 6.7744398 51.3831269, 6.7745689 51.38196, 6.7748472 51.3798675, 6.775138 51.3777263, 6.7753419 51.3764663, 6.7754401 51.3755897, 6.7754257 51.3750594, 6.7753701 51.374553, 6.7752901 51.3741322, 6.7751785 51.3736966, 6.7751039 51.3734614)",A 59,yes,,,,,
"[35221472, 25976196, 4451663, 231820092, 232605726]",True,"['3', '2']",motorway,100,False,1488.271,"LINESTRING (6.7703385 51.3678564, 6.7698981 51.3673688, 6.7694399 51.3667994, 6.7691148 51.3663084, 6.7687996 51.3658168, 6.7682407 51.3648789, 6.7675475 51.3636406, 6.7671599 51.3629721, 6.7668265 51.3624564, 6.7665107 51.3620068, 6.7661581 51.3615556, 6.7657897 51.3611196, 6.7650707 51.3603358, 6.7643662 51.3595825, 6.7634993 51.358709, 6.7630573 51.3582437, 6.7628077 51.3579859, 6.7621914 51.3573682, 6.7607741 51.3559312)",A 59,yes,,,,,
"[10150032, 231812285]",True,"['1', '2']",motorway_link,,False,253.524,"LINESTRING (6.7723422 51.4032074, 6.7724151 51.4035425, 6.772426 51.4038589, 6.7723857 51.4042181, 6.7721938 51.4054777)",,,,,,,
"[231812274, 24041331, 25129630, 25129626]",True,3,motorway,100,False,697.3709999999999,"LINESTRING (6.7723422 51.4032074, 6.7719709 51.4054648, 6.7718679 51.406214, 6.7715777 51.4089969, 6.7715428 51.409458)",A 59,yes,,,,,
"[229145988, 4451652, 23718640, 238549202, 23718643, 235590834]",True,"['3', '4', '2']",motorway,80,False,962.7239999999999,"LINESTRING (6.7706701 51.4260702, 6.7709769 51.4267756, 6.7711236 51.4270702, 6.7713925 51.4275401, 6.7720174 51.428537, 6.7726627 51.4295181, 6.7739035 51.4315422, 6.7742385 51.4320135, 6.7744556 51.4322915, 6.7747316 51.4325439, 6.7753957 51.4331351, 6.77573 51.4334542, 6.7759671 51.4337093, 6.7761827 51.433971)",A 59,,,,yes,,
"[231788520, 9658450, 237798091]",True,"['1', '2']",motorway_link,80,False,130.893,"LINESTRING (6.7761827 51.433971, 6.776408 51.4341314, 6.7765461 51.4343798, 6.7766665 51.4346251, 6.776746 51.4347393, 6.7767956 51.4347878, 6.776864 51.434838, 6.7769012 51.434857, 6.7769405 51.4348706, 6.7769946 51.434883, 6.7770487 51.4348915, 6.777105 51.4348972, 6.7771569 51.4348963)",,,,"['8', '6']",,,
231788505,True,3,motorway,80,False,254.36800000000002,"LINESTRING (6.7761827 51.433971, 6.7763267 51.4342442, 6.7763968 51.4344322, 6.7764597 51.4346785, 6.7764879 51.4348963, 6.7764939 51.4351293, 6.7764662 51.4354046, 6.7764124 51.4356386, 6.7763823 51.4357393, 6.7763436 51.435848, 6.7762646 51.4360239, 6.7761749 51.4362132)",A 59,,,11,,,
"[119294723, 4451658, 231812250, 28029724, 1190843518, 1190843519]",True,"['3', '4']",motorway,100,False,1812.387,"LINESTRING (6.7742811 51.3869536, 6.7740913 51.3887423, 6.7739128 51.3902687, 6.7738867 51.3905007, 6.7728331 51.3996419, 6.7726501 51.4010586, 6.7726332 51.4011995, 6.7725694 51.4015865, 6.7723422 51.4032074)",A 59,yes,,,,,
