osmid,oneway,lanes,highway,reversed,length,geometry,name
141032040,False,,residential,False,68.562,"LINESTRING (-66.5874383 -18.4239743, -66.5878835 -18.4244235)",Calle Campero
621837303,False,,residential,True,13.014,"LINESTRING (-66.5874383 -18.4239743, -66.5873699 -18.4240717)",Calle 25 de Mayo
141032040,False,,residential,True,159.288,"LINESTRING (-66.5874383 -18.4239743, -66.5871208 -18.4236702, -66.5863901 -18.4229433)",Calle Campero
141031663,False,,residential,True,45.612,"LINESTRING (-66.587841 -18.4245254, -66.5880981 -18.4248552)",
148319501,False,,residential,False,12.186,"LINESTRING (-66.587841 -18.4245254, -66.5878835 -18.4244235)",
141031663,False,,residential,False,70.924,"LINESTRING (-66.587841 -18.4245254, -66.5876024 -18.4242708, -66.5873699 -18.4240717)",
144864643,False,,residential,False,76.027,"LINESTRING (-66.587841 -18.4245254, -66.5878274 -18.4245572, -66.587274 -18.4249394)",Calle Oblitas
144864648,False,,residential,False,104.924,"LINESTRING (-66.5867797 -18.4246524, -66.5859392 -18.4241479)",Calle Sucre
144864648,False,,residential,True,61.136,"LINESTRING (-66.5867797 -18.4246524, -66.587274 -18.4249394)",Calle Sucre
621837303,False,,residential,False,89.71000000000001,"LINESTRING (-66.5867797 -18.4246524, -66.5870856 -18.4243601, -66.5873699 -18.4240717)",Calle 25 de Mayo
621837303,False,,residential,True,168.26299999999998,"LINESTRING (-66.5867797 -18.4246524, -66.5863347 -18.4250809, -66.5859685 -18.4254566, -66.585702 -18.4257665)",Calle 25 de Mayo
"[190587474, 621837300]",False,2,tertiary,True,137.813,"LINESTRING (-66.5806353 -18.4247244, -66.581074 -18.424052, -66.58123 -18.423898, -66.5814311 -18.4237608)",
621837305,False,,residential,False,85.11099999999999,"LINESTRING (-66.5806353 -18.4247244, -66.5809726 -18.4249324, -66.5812883 -18.4251723)",
144864648,False,,residential,False,61.136,"LINESTRING (-66.587274 -18.4249394, -66.5867797 -18.4246524)",Calle Sucre
144864648,False,,residential,True,52.847,"LINESTRING (-66.587274 -18.4249394, -66.5876892 -18.4252053)",Calle Sucre
144864643,False,,residential,False,173.793,"LINESTRING (-66.587274 -18.4249394, -66.5872106 -18.4250116, -66.5868015 -18.4254897, -66.5863779 -18.4262423)",Calle Oblitas
144864643,False,,residential,True,76.027,"LINESTRING (-66.587274 -18.4249394, -66.5878274 -18.4245572, -66.587841 -18.4245254)",Calle Oblitas
148319500,False,,residential,True,53.201,"LINESTRING (-66.5882765 -18.4257478, -66.5886466 -18.4254228)",Calle Topater
144864648,False,,residential,False,86.889,"LINESTRING (-66.5882765 -18.4257478, -66.5879419 -18.4253906, -66.5878104 -18.4252829, -66.5876892 -18.4252053)",Calle Sucre
