osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed
271946476,,,residential,False,False,36.637,"LINESTRING (-40.9589325 -13.2937135, -40.9592139 -13.2938967)",,
271946476,,,residential,False,True,98.968,"LINESTRING (-40.9589325 -13.2937135, -40.9580957 -13.2933544)",,
271946481,,,residential,False,False,51.886,"LINESTRING (-40.9589325 -13.2937135, -40.9592668 -13.293379)",,
271946481,,,residential,False,True,34.197,"LINESTRING (-40.9589325 -13.2937135, -40.9588237 -13.2938538, -40.9587403 -13.2939576)",,
271946476,,,residential,False,False,58.661,"LINESTRING (-40.9592139 -13.2938967, -40.9597481 -13.2939863)",,
271946476,,,residential,False,True,36.637,"LINESTRING (-40.9592139 -13.2938967, -40.9589325 -13.2937135)",,
271946480,,,residential,False,True,75.019,"LINESTRING (-40.9592139 -13.2938967, -40.9592535 -13.2939326, -40.9593111 -13.2939645, -40.9593976 -13.2940043, -40.9595143 -13.2940461, -40.9596565 -13.2940938, -40.9598509 -13.2941486)",,
271946476,,,residential,False,True,103.709,"LINESTRING (-40.9608426 -13.2941576, -40.9598964 -13.2940095)",,
271946477,,,residential,False,False,29.775,"LINESTRING (-40.9608426 -13.2941576, -40.9609852 -13.2939286)",,
271946477,,,residential,False,True,28.298,"LINESTRING (-40.9608426 -13.2941576, -40.9609368 -13.294395)",,
271946477,,,residential,False,False,40.878,"LINESTRING (-40.9612799 -13.2942412, -40.9609368 -13.294395)",,
299749502,2,,secondary,False,True,47.173,"LINESTRING (-40.9612799 -13.2942412, -40.961127 -13.2940781, -40.9609852 -13.2939286)",,
271946477,,,residential,False,False,28.298,"LINESTRING (-40.9609368 -13.294395, -40.9608426 -13.2941576)",,
271946477,,,residential,False,True,40.878,"LINESTRING (-40.9609368 -13.294395, -40.9612799 -13.2942412)",,
271946478,,,residential,False,False,90.033,"LINESTRING (-40.9609368 -13.294395, -40.9609201 -13.2945313, -40.9609151 -13.2945946, -40.9609161 -13.294668, -40.9609164 -13.2947349, -40.9609137 -13.2947799, -40.960907 -13.2947979, -40.9608943 -13.2948083, -40.9605128 -13.2949219)",,
271946477,,,residential,False,True,29.775,"LINESTRING (-40.9609852 -13.2939286, -40.9608426 -13.2941576)",,
299749502,2,,secondary,False,False,47.173,"LINESTRING (-40.9609852 -13.2939286, -40.961127 -13.2940781, -40.9612799 -13.2942412)",,
299749502,2,,secondary,False,True,16.202,"LINESTRING (-40.9609852 -13.2939286, -40.9609459 -13.2938829, -40.9608785 -13.2938271)",,
271946478,,,residential,False,True,53.179,"LINESTRING (-40.9592482 -13.2943401, -40.959684 -13.2945611)",,
957555216,,,residential,False,True,34.627,"LINESTRING (-40.958878 -13.2953258, -40.9587657 -13.2950342)",,
271946479,,,residential,False,False,70.827,"LINESTRING (-40.958878 -13.2953258, -40.9590429 -13.2952619, -40.9591556 -13.2952123, -40.9592213 -13.2951783, -40.9593219 -13.2951209, -40.9593829 -13.2950785, -40.9594412 -13.2950152)",,
957555216,,,residential,False,False,119.64800000000001,"LINESTRING (-40.958878 -13.2953258, -40.9589517 -13.2955516, -40.9590751 -13.2959745, -40.9591341 -13.296105, -40.9592038 -13.2962303, -40.9592575 -13.2963321)",,
271946478,,,residential,False,False,53.179,"LINESTRING (-40.959684 -13.2945611, -40.9592482 -13.2943401)",,
271946479,,,residential,False,False,49.296,"LINESTRING (-40.959684 -13.2945611, -40.9598509 -13.2941486)",,
271946478,,,residential,False,True,100.42300000000002,"LINESTRING (-40.959684 -13.2945611, -40.9603813 -13.2949284, -40.9604068 -13.2949362, -40.9604316 -13.2949388, -40.9604698 -13.2949349, -40.9605128 -13.2949219)",,
271946479,,,residential,False,True,56.922,"LINESTRING (-40.959684 -13.2945611, -40.959493 -13.2949216, -40.9594412 -13.2950152)",,
271946476,,,residential,False,False,103.709,"LINESTRING (-40.9598964 -13.2940095, -40.9608426 -13.2941576)",,
271946476,,,residential,False,True,16.254,"LINESTRING (-40.9598964 -13.2940095, -40.9597481 -13.2939863)",,
271946479,,,residential,False,True,16.232,"LINESTRING (-40.9598964 -13.2940095, -40.9598509 -13.2941486)",,
271946479,,,residential,False,False,16.232,"LINESTRING (-40.9598509 -13.2941486, -40.9598964 -13.2940095)",,
271946479,,,residential,False,True,49.296,"LINESTRING (-40.9598509 -13.2941486, -40.959684 -13.2945611)",,
271946480,,,residential,False,False,75.019,"LINESTRING (-40.9598509 -13.2941486, -40.9596565 -13.2940938, -40.9595143 -13.2940461, -40.9593976 -13.2940043, -40.9593111 -13.2939645, -40.9592535 -13.2939326, -40.9592139 -13.2938967)",,
271946481,,,residential,False,False,43.924,"LINESTRING (-40.9584903 -13.2942688, -40.9587403 -13.2939576)",,
957555216,,,residential,False,True,38.953,"LINESTRING (-40.9584903 -13.2942688, -40.958392 -13.2939318)",,
957555216,,,residential,False,False,90.25999999999999,"LINESTRING (-40.9584903 -13.2942688, -40.9585676 -13.2945338, -40.9587657 -13.2950342)",,
271946481,,,residential,False,True,51.886,"LINESTRING (-40.9592668 -13.293379, -40.9589325 -13.2937135)",,
799574022,,,residential,False,True,12.94,"LINESTRING (-40.9592668 -13.293379, -40.9593809 -13.2934138)",,
271946471,,,residential,False,False,51.239999999999995,"LINESTRING (-40.9592668 -13.293379, -40.9592186 -13.2933609, -40.9592052 -13.2933439, -40.9592012 -13.2933257, -40.9592025 -13.2933041, -40.9592621 -13.2929601)",,
271946481,,,residential,False,True,43.924,"LINESTRING (-40.9587403 -13.2939576, -40.9584903 -13.2942688)",,
271946482,,,residential,False,False,37.8,"LINESTRING (-40.9587403 -13.2939576, -40.958392 -13.2939318)",Rua Artur Magalhães,
271946481,,,residential,False,False,34.197,"LINESTRING (-40.9587403 -13.2939576, -40.9588237 -13.2938538, -40.9589325 -13.2937135)",,
242770394,,,residential,False,False,232.98700000000002,"LINESTRING (-40.9555131 -13.2946315, -40.9556835 -13.2945745, -40.9558709 -13.2945291, -40.9562214 -13.2944442, -40.9564519 -13.2943884, -40.9575979 -13.2941108)",Rua Artur Magalhães,
242770394,,,residential,False,True,85.941,"LINESTRING (-40.9555131 -13.2946315, -40.9551557 -13.2947395, -40.9547735 -13.2949088)",Rua Artur Magalhães,
271946483,,,residential,False,False,263.366,"LINESTRING (-40.9555131 -13.2946315, -40.9564767 -13.2950837, -40.9565625 -13.2951203, -40.9566557 -13.2951444, -40.9567436 -13.2951522, -40.95682 -13.2951457, -40.9569268 -13.2951325, -40.957016 -13.2951126, -40.9578053 -13.2949368)",Travessa Bela Vista,40
957555217,,,residential,False,False,55.348,"LINESTRING (-40.9578053 -13.2949368, -40.9579369 -13.2954178)",Rua Bela Vista de Cima,
957555217,,,residential,False,True,94.55,"LINESTRING (-40.9578053 -13.2949368, -40.9575979 -13.2941108)",Rua Bela Vista de Cima,
271946483,,,residential,False,True,263.36600000000004,"LINESTRING (-40.9578053 -13.2949368, -40.957016 -13.2951126, -40.9569268 -13.2951325, -40.95682 -13.2951457, -40.9567436 -13.2951522, -40.9566557 -13.2951444, -40.9565625 -13.2951203, -40.9564767 -13.2950837, -40.9555131 -13.2946315)",Travessa Bela Vista,40
271946484,,,residential,False,False,90.40899999999999,"LINESTRING (-40.9611801 -13.2958072, -40.9608306 -13.2958006, -40.9608071 -13.2957973, -40.96078 -13.2957882, -40.9606794 -13.295749, -40.9605017 -13.2956727, -40.9603807 -13.2956241)",,
271946484,,,residential,False,False,122.41699999999999,"LINESTRING (-40.9603807 -13.2956241, -40.9600601 -13.2954544, -40.9598952 -13.2953474, -40.9597041 -13.2952116, -40.9595405 -13.2950929, -40.9594412 -13.2950152)",,
271946484,,,residential,False,True,90.40899999999999,"LINESTRING (-40.9603807 -13.2956241, -40.9605017 -13.2956727, -40.9606794 -13.295749, -40.96078 -13.2957882, -40.9608071 -13.2957973, -40.9608306 -13.2958006, -40.9611801 -13.2958072)",,
957555218,,,residential,False,False,81.42999999999999,"LINESTRING (-40.9603807 -13.2956241, -40.9605087 -13.2953089, -40.9605315 -13.2952292, -40.9605416 -13.2951614, -40.9605423 -13.2950759, -40.9605128 -13.2949219)",,
957555218,,,residential,False,True,130.19,"LINESTRING (-40.9603807 -13.2956241, -40.9601533 -13.2961729, -40.96003 -13.2964522, -40.9598904 -13.2966914)",,
271946479,,,residential,False,False,56.922,"LINESTRING (-40.9594412 -13.2950152, -40.959493 -13.2949216, -40.959684 -13.2945611)",,
271946479,,,residential,False,True,70.827,"LINESTRING (-40.9594412 -13.2950152, -40.9593829 -13.2950785, -40.9593219 -13.2951209, -40.9592213 -13.2951783, -40.9591556 -13.2952123, -40.9590429 -13.2952619, -40.958878 -13.2953258)",,
271946484,,,residential,False,True,122.417,"LINESTRING (-40.9594412 -13.2950152, -40.9595405 -13.2950929, -40.9597041 -13.2952116, -40.9598952 -13.2953474, -40.9600601 -13.2954544, -40.9603807 -13.2956241)",,
957555216,,,residential,False,False,62.223,"LINESTRING (-40.9592575 -13.2963321, -40.9597505 -13.2966201)",,
271946486,,,residential,False,False,155.165,"LINESTRING (-40.9592575 -13.2963321, -40.9591589 -13.2963093, -40.9589933 -13.296212, -40.9587586 -13.2960645, -40.9586339 -13.295981, -40.9584984 -13.295874, -40.9583884 -13.2957631, -40.958304 -13.2956534, -40.9581666 -13.2954683)",,
957555216,,,residential,False,True,119.648,"LINESTRING (-40.9592575 -13.2963321, -40.9592038 -13.2962303, -40.9591341 -13.296105, -40.9590751 -13.2959745, -40.9589517 -13.2955516, -40.958878 -13.2953258)",,
957555217,,,residential,False,True,120.093,"LINESTRING (-40.9577419 -13.2967206, -40.9580064 -13.2956717)",Rua Bela Vista de Cima,
456948661,,,residential,False,False,191.723,"LINESTRING (-40.9577419 -13.2967206, -40.9580398 -13.2967602, -40.958143 -13.2967772, -40.9582342 -13.2968007, -40.9582952 -13.2968248, -40.9583516 -13.2968535, -40.9584052 -13.2969031, -40.9584877 -13.296986, -40.958599 -13.2970904, -40.958717 -13.297187, -40.9588484 -13.2972535, -40.9589544 -13.2972927, -40.9591287 -13.2973266, -40.9593286 -13.2973547)",Rua Democrata,
"[456948661, 251518085]",,,residential,False,True,152.31999999999996,"LINESTRING (-40.9577419 -13.2967206, -40.9575632 -13.2966864, -40.956872 -13.2965835, -40.9564774 -13.29649, -40.9564432 -13.2964874, -40.9564271 -13.29649, -40.9564076 -13.2965005, -40.9563976 -13.2965116, -40.9563849 -13.2965402)","['Rua da Pista', 'Rua Democrata']",
"[957555217, 251518084]",,,residential,False,False,167.118,"LINESTRING (-40.9577419 -13.2967206, -40.9577675 -13.2971204, -40.9577836 -13.2971883, -40.9578131 -13.2972522, -40.9578694 -13.2973149, -40.9580518 -13.2974637, -40.9582959 -13.2976647, -40.9584273 -13.2977482, -40.9585896 -13.2978422)","['Rua Bela Vista de Cima', 'Rua do Pantanal']",
271946487,,,residential,False,False,28.497,"LINESTRING (-40.9580064 -13.2956717, -40.9581666 -13.2954683)",,
957555217,,,residential,False,False,120.093,"LINESTRING (-40.9580064 -13.2956717, -40.9577419 -13.2967206)",Rua Bela Vista de Cima,
