osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed
694620708,False,Orla Municipal,residential,True,219.20799999999997,"LINESTRING (-44.4679936 -4.5167053, -44.4680205 -4.5167152, -44.4681347 -4.5167571, -44.4682802 -4.5168073, -44.4683915 -4.5168407, -44.4684915 -4.5168674, -44.4685666 -4.5168781, -44.4686363 -4.5168781, -44.4687101 -4.5168641, -44.4687731 -4.5168487, -44.4688159 -4.5168341, -44.4688395 -4.516826, -44.4689132 -4.5167752, -44.4689548 -4.5167304, -44.468989 -4.5166495, -44.468995 -4.5165867, -44.4689897 -4.5165489, -44.468985 -4.5165151, -44.4689615 -4.5164129, -44.4689435 -4.5163514, -44.468932 -4.5163119, -44.4689048 -4.5162477, -44.468867 -4.5161762, -44.4688302 -4.5161218, -44.4688163 -4.5161013, -44.4687241 -4.5159924, -44.4686289 -4.5159075)",,
694616079,False,Vila Doutor Aristóteles,residential,True,31.843,"LINESTRING (-44.4660801 -4.5139749, -44.4658113 -4.5140759)",,
693995843,False,Rua Joaquim Januário,residential,False,20.02,"LINESTRING (-44.4651286 -4.5144663, -44.4651487 -4.5145224, -44.4651715 -4.5145812, -44.4651976 -4.5146324)",,
"[694616080, 994907086]",False,Rua do Socorro Sarmento,residential,"[False, True]",186.658,"LINESTRING (-44.4651286 -4.5144663, -44.4644728 -4.5145953, -44.4643468 -4.5146421, -44.4642408 -4.5147089, -44.464155 -4.5147758, -44.4640866 -4.5148587, -44.4640593 -4.5153953)",,
693995533,False,Rua José Augusto dos Santos,residential,True,102.664,"LINESTRING (-44.4660453 -4.515241, -44.4655108 -4.514487)",,
694616078,False,Rua Antero Reis,residential,False,272.46799999999996,"LINESTRING (-44.4660453 -4.515241, -44.4660599 -4.5152079, -44.4661452 -4.5150144, -44.4661633 -4.5149756, -44.4661848 -4.5149389, -44.4662116 -4.5149088, -44.4662364 -4.5148837, -44.4662609 -4.5148663, -44.4662897 -4.5148493, -44.466461 -4.5147691, -44.4666079 -4.5146962, -44.4666937 -4.5146461, -44.4667722 -4.5145859, -44.4668238 -4.5145331, -44.4668607 -4.5144776, -44.4668741 -4.5144148, -44.4668714 -4.5143373, -44.4668439 -4.514249, -44.4667994 -4.5141817, -44.4667527 -4.5141394, -44.4666903 -4.5141073, -44.4666126 -4.5140959, -44.4665301 -4.514106, -44.4658917 -4.5143439)",,
694616078,False,Rua Antero Reis,residential,True,64.038,"LINESTRING (-44.4660453 -4.515241, -44.4659226 -4.5154991, -44.4658583 -4.5156376, -44.4658002 -4.5157625)",,
693995533,False,Rua José Augusto dos Santos,residential,False,102.664,"LINESTRING (-44.4655108 -4.514487, -44.4660453 -4.515241)",,
694616078,False,Rua Antero Reis,residential,False,38.298,"LINESTRING (-44.4655108 -4.514487, -44.4651976 -4.5146324)",,
694616078,False,Rua Antero Reis,residential,True,45.122,"LINESTRING (-44.4655108 -4.514487, -44.4658917 -4.5143439)",,
