osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,lanes
"[81974954, 168506665, 23137466, 60263407]",,Herzog-Wilhelm-Straße,tertiary,False,False,235.25300000000001,"LINESTRING (6.1178736 50.9619699, 6.1180916 50.9620897, 6.1183692 50.9622422, 6.1186002 50.9623691, 6.1187395 50.9624517, 6.118994 50.9625993, 6.119054 50.9626297, 6.1192845 50.9627462, 6.119442 50.9628258, 6.1194585 50.9628341, 6.1195133 50.962855, 6.1197279 50.9629367, 6.1199016 50.9629927, 6.1199679 50.9630106, 6.120149 50.9630549, 6.1202949 50.9630841, 6.1204186 50.9631134, 6.1206049 50.96316)","['50', '30']",,,
23137466,,Herzog-Wilhelm-Straße,tertiary,False,True,28.151,"LINESTRING (6.1178736 50.9619699, 6.1176904 50.9618751, 6.117563 50.9618092)",50,,,
39535508,,Beamtenweg,residential,False,True,70.355,"LINESTRING (6.1178736 50.9619699, 6.1183182 50.9617556, 6.1186714 50.9615854)",,,,
39535508,,Beamtenweg,residential,False,False,70.355,"LINESTRING (6.1186714 50.9615854, 6.1183182 50.9617556, 6.1178736 50.9619699)",,,,
55376273,,An der Vogelstange,living_street,False,False,79.429,"LINESTRING (6.1202917 50.9657777, 6.1200017 50.9656493, 6.1199804 50.9656398, 6.1198513 50.9655827, 6.1198344 50.9655752, 6.1197489 50.96552, 6.1196753 50.9654724, 6.1194925 50.9654159, 6.1194462 50.9654084, 6.1193534 50.9653934)",,,,
55376273,,An der Vogelstange,living_street,False,True,56.43899999999999,"LINESTRING (6.1202917 50.9657777, 6.1202525 50.965828, 6.1202419 50.9658416, 6.1202179 50.9658493, 6.1200132 50.9659149, 6.1198161 50.9659781, 6.1197833 50.9659886, 6.1197434 50.9660009, 6.119623 50.9660378)",,,,
55376280,,An der Vogelstange,living_street,False,False,277.78499999999997,"LINESTRING (6.1202917 50.9657777, 6.120383 50.9657998, 6.1205813 50.9658478, 6.1206995 50.9659393, 6.1209034 50.9660972, 6.120922 50.9661116, 6.121018 50.9661968, 6.1214532 50.9664754, 6.121541 50.9665099, 6.1218138 50.966612, 6.1218456 50.9666239, 6.1220347 50.9666947, 6.1221607 50.9667655, 6.1222196 50.9668348, 6.1222784 50.9669044, 6.1223067 50.9669379, 6.1223451 50.9669833, 6.1224041 50.9670531, 6.1224315 50.9670855, 6.1224369 50.9670919, 6.1224916 50.9671567, 6.1225385 50.9672122, 6.122567 50.9672459, 6.1225931 50.9672768, 6.1226162 50.9673041, 6.1226577 50.9673533, 6.1226784 50.9673777, 6.1227176 50.9674241, 6.1227684 50.9674842, 6.1227967 50.9675177, 6.1228124 50.9675363, 6.1228756 50.9675825)",,,,
24043678,L 364,Theodor-Heuss-Ring,secondary,False,True,80.986,"LINESTRING (6.1238303 50.9618535, 6.123643 50.9617448, 6.1231049 50.9613983, 6.1230274 50.9613309)",,,,2
37664413,L 364,Theodor-Heuss-Ring,secondary,True,False,139.584,"LINESTRING (6.1238303 50.9618535, 6.1239816 50.9619172, 6.1240622 50.9619638, 6.1243567 50.9621562, 6.1244863 50.9622741, 6.1245855 50.9624226, 6.1246123 50.9624721, 6.1246673 50.9626064, 6.1246962 50.9627573, 6.1247168 50.9628359, 6.1246906 50.9629115)",,,,
"[37664409, 37664412]",,"['Bahnhofstraße', 'Geilenkirchener Kreisbahn']",residential,True,False,54.266,"LINESTRING (6.1230129 50.9611594, 6.1230604 50.961119, 6.1231206 50.9610678, 6.1232868 50.9609709, 6.1234415 50.9609144, 6.1234804 50.9609069, 6.1235501 50.960902, 6.1236265 50.9609111)",,,,
