osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction
1159000899,,,Alte Neresheimer Straße,residential,,False,False,25.115,,"LINESTRING (10.3462813 48.8547242, 10.346089 48.8545371)",
96647009,,,Alte Neresheimer Straße,residential,,False,True,172.28099999999998,,"LINESTRING (10.3462813 48.8547242, 10.3464738 48.8549074, 10.3467977 48.8552639, 10.3470546 48.8556283, 10.3471415 48.8557588, 10.3472023 48.8558789, 10.3472647 48.8561159)",
81396090,,,Mörikestraße,residential,,False,True,66.833,,"LINESTRING (10.3484325 48.8551038, 10.3487776 48.8545473)",
81396095,,,Mörikestraße,residential,,False,False,86.36,,"LINESTRING (10.3484325 48.8551038, 10.3484089 48.8553117, 10.3484444 48.8555721, 10.3485017 48.8558386, 10.3485097 48.8558758)",
81396103,,,Feldwiesenweg,residential,,False,False,88.68,,"LINESTRING (10.3484325 48.8551038, 10.3486231 48.8552347, 10.348687 48.8552786, 10.3490364 48.8554861, 10.3491372 48.8555681, 10.3491522 48.8556382, 10.3491361 48.8557069)",
81396106,,,Feldwiesenweg,residential,,False,True,111.696,,"LINESTRING (10.3484325 48.8551038, 10.3481062 48.8549686, 10.347821 48.8548504, 10.3476045 48.8547933, 10.3470747 48.8546536)",
81396094,,,Kernerweg,residential,,False,True,83.05,,"LINESTRING (10.347427 48.8539436, 10.3470747 48.8546536)",
81396094,,,Kernerweg,residential,,False,False,64.91199999999999,,"LINESTRING (10.347427 48.8539436, 10.347452 48.8538185, 10.3475425 48.8533648)",
81396098,,,Uhlandstraße,residential,,False,False,119.667,,"LINESTRING (10.347427 48.8539436, 10.3484785 48.853961, 10.3490516 48.8540341)",
81396091,,,Mörikestraße,residential,,False,True,44.794,,"LINESTRING (10.3481848 48.8544476, 10.3485925 48.8545093, 10.3487776 48.8545473)",
81396094,,,Kernerweg,residential,,False,True,64.91199999999999,,"LINESTRING (10.3475425 48.8533648, 10.347452 48.8538185, 10.347427 48.8539436)",
81396096,,,Hölderlinstraße,residential,,False,False,131.743,,"LINESTRING (10.3475425 48.8533648, 10.3479229 48.853351, 10.3481571 48.8533601, 10.3484682 48.8533723, 10.3493293 48.8534684)",
81396090,,,Mörikestraße,residential,,False,True,66.103,,"LINESTRING (10.3490516 48.8540341, 10.3493293 48.8534684)",
81396090,,,Mörikestraße,residential,,False,False,60.499,,"LINESTRING (10.3490516 48.8540341, 10.3489332 48.8542746, 10.3487776 48.8545473)",
81396098,,,Uhlandstraße,residential,,False,True,119.667,,"LINESTRING (10.3490516 48.8540341, 10.3484785 48.853961, 10.347427 48.8539436)",
81396415,,,Uhlandstraße,residential,,False,False,172.38899999999998,,"LINESTRING (10.3490516 48.8540341, 10.349564 48.8540898, 10.3496745 48.8541018, 10.3502024 48.8541592, 10.3503606 48.8541764, 10.3513865 48.8542328)",
81396096,,,Hölderlinstraße,residential,,False,True,58.899,,"LINESTRING (10.3535922 48.8533454, 10.3528145 48.8534822)",
81396096,,,Hölderlinstraße,residential,,False,False,211.606,,"LINESTRING (10.3535922 48.8533454, 10.3540267 48.8532828, 10.354252 48.8532686, 10.3545819 48.8532528, 10.3550164 48.8532263, 10.3551291 48.8532342, 10.355239 48.8532616, 10.3553745 48.8533207, 10.3554858 48.8534001, 10.3555193 48.8534359, 10.3555743 48.8537167, 10.3556065 48.8537672, 10.3558373 48.853912)",
81396096,,,Hölderlinstraße,residential,,False,False,18.995,,"LINESTRING (10.3510679 48.8536549, 10.3513275 48.8536527)",
81396096,,,Hölderlinstraße,residential,,False,True,129.351,,"LINESTRING (10.3510679 48.8536549, 10.3503041 48.8536226, 10.3493293 48.8534684)",
81396090,,,Mörikestraße,residential,,False,False,66.103,,"LINESTRING (10.3493293 48.8534684, 10.3490516 48.8540341)",
81396096,,,Hölderlinstraße,residential,,False,False,129.351,,"LINESTRING (10.3493293 48.8534684, 10.3503041 48.8536226, 10.3510679 48.8536549)",
81396096,,,Hölderlinstraße,residential,,False,True,131.743,,"LINESTRING (10.3493293 48.8534684, 10.3484682 48.8533723, 10.3481571 48.8533601, 10.3479229 48.853351, 10.3475425 48.8533648)",
