osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access
30072072,,Sophienstraße,residential,30,False,False,25.479,"LINESTRING (8.047655 52.1553593, 8.0477461 52.1552409, 8.047826 52.1551558)",,
30072072,,Sophienstraße,residential,30,False,True,24.608,"LINESTRING (8.047655 52.1553593, 8.04758 52.155453, 8.0474843 52.1555541)",,
163997991,,Hagenberg,residential,,False,False,98.154,"LINESTRING (8.0505015 52.1573694, 8.0504292 52.158251)",,
163997991,,Hagenberg,residential,,False,True,30.716,"LINESTRING (8.0505015 52.1573694, 8.0504996 52.1572516, 8.0504857 52.1570934)",,
163997991,,Hagenberg,residential,,False,True,98.154,"LINESTRING (8.0504292 52.158251, 8.0505015 52.1573694)",,
184378470,,Hagenberg,residential,30,False,True,130.099,"LINESTRING (8.0504292 52.158251, 8.0485416 52.1580839)",,
47418862,,Friedhofstraße,residential,,False,True,171.804,"LINESTRING (8.0499893 52.156771, 8.0498698 52.1567788, 8.0493298 52.1568185, 8.0478812 52.1570907, 8.0477112 52.1571367, 8.0475872 52.1571923)",,
1202558109,,Große Straße,residential,30,True,False,13.135,"LINESTRING (8.0449215 52.155856, 8.0450934 52.1559092)",,
26552938,,Große Straße,residential,30,False,True,71.045,"LINESTRING (8.0449215 52.155856, 8.0447297 52.1558522, 8.0444679 52.1558572, 8.0442623 52.1558885, 8.0439745 52.1559552, 8.0439132 52.1559734)",,
33409012,,Hagenpatt,residential,20,False,True,187.86599999999999,"LINESTRING (8.0463782 52.1574196, 8.0463578 52.1573186, 8.046266 52.1569664, 8.0462407 52.1568619, 8.0459489 52.1557508)",,
25556186,2,Bielefelder Straße,tertiary,50,False,False,21.245,"LINESTRING (8.0434901 52.1545771, 8.0437053 52.154439)",,
25556186,2,Bielefelder Straße,tertiary,50,False,True,63.444,"LINESTRING (8.0434901 52.1545771, 8.0429103 52.1550232)",,
"[287428393, 30252627]",,"['Osningweg', 'Teutoburger Straße']","['residential', 'unclassified']",50,False,"[False, True]",187.35999999999999,"LINESTRING (8.0434901 52.1545771, 8.0434325 52.1545307, 8.0433439 52.1543703, 8.0432942 52.1541813, 8.0432287 52.1536264, 8.0431983 52.1535928, 8.0431496 52.1535836, 8.0421074 52.1535624)",,
"[530652209, 45268955]",,Thünen,residential,20,False,"[False, True]",51.207,"LINESTRING (8.0435186 52.157087, 8.0437269 52.1571229, 8.0438751 52.1571588, 8.0438851 52.1572428, 8.0438875 52.1573886)",,
30252627,,Osningweg,unclassified,,False,False,160.951,"LINESTRING (8.0421074 52.1535624, 8.0417218 52.1535568, 8.040168 52.1535458, 8.0397557 52.1535935)",,
"[287428393, 30252627]",,"['Osningweg', 'Teutoburger Straße']","['unclassified', 'residential']",50,False,"[False, True]",187.36,"LINESTRING (8.0421074 52.1535624, 8.0431496 52.1535836, 8.0431983 52.1535928, 8.0432287 52.1536264, 8.0432942 52.1541813, 8.0433439 52.1543703, 8.0434325 52.1545307, 8.0434901 52.1545771)",,
311215846,,Simeris,living_street,,False,True,139.886,"LINESTRING (8.0421074 52.1535624, 8.042094 52.1537607, 8.0420921 52.1543764, 8.0419222 52.1546046, 8.0416148 52.1545638)",,
311215846,,Simeris,living_street,,False,False,139.886,"LINESTRING (8.0416148 52.1545638, 8.0419222 52.1546046, 8.0420921 52.1543764, 8.042094 52.1537607, 8.0421074 52.1535624)",,
79818844,,Mühlenstraße,residential,30,False,False,50.266,"LINESTRING (8.0511936 52.152504, 8.0516664 52.1521573)",,
79818844,,Mühlenstraße,residential,30,False,True,13.525,"LINESTRING (8.0511936 52.152504, 8.051067 52.1525976)",,
526797368,,Mühlenstraße,living_street,,False,True,34.194,"LINESTRING (8.0511936 52.152504, 8.0508126 52.1523042)",,
526797368,,Mühlenstraße,living_street,,False,False,34.194,"LINESTRING (8.0508126 52.1523042, 8.0511936 52.152504)",,
"[25556188, 184447575]",2,Charlottenburger Ring,primary,50,False,True,419.11100000000005,"LINESTRING (8.0391518 52.1582811, 8.039148 52.1582547, 8.039132 52.1581434, 8.0390971 52.157901, 8.0390995 52.1578132, 8.0391019 52.1577242, 8.0391298 52.1575786, 8.0391914 52.1574523, 8.0392989 52.1573392, 8.0394708 52.1572155, 8.03977 52.157072, 8.0400148 52.1569671, 8.0406564 52.1566899, 8.0410336 52.1565134, 8.0412883 52.1563338, 8.0414994 52.1561464, 8.041703 52.1559073, 8.0419252 52.155579, 8.0420243 52.1553896, 8.0420583 52.1552948, 8.0420567 52.1552317)",B 51,
