osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,name,bridge,width
32940256,residential,,,False,True,31.192,"LINESTRING (6.5516388 50.5375886, 6.5514623 50.537796, 6.5514427 50.5378111, 6.5514113 50.5378264)",,,Loshardt,,
132410591,residential,,,False,False,150.302,"LINESTRING (6.5516388 50.5375886, 6.5514606 50.5375164, 6.5513747 50.5374778, 6.5510384 50.5373156, 6.5507794 50.5371907, 6.5506301 50.5371297, 6.5504985 50.5370874, 6.5503792 50.5370567, 6.5499536 50.5369719, 6.5497976 50.5369414)",,,Loshardt,,
132410591,residential,,,False,True,105.14,"LINESTRING (6.5516388 50.5375886, 6.5520894 50.5377626, 6.5521715 50.5377953, 6.5522786 50.537842, 6.5523542 50.5378821, 6.5524161 50.537923, 6.5525596 50.5380304, 6.5527073 50.5381312, 6.5527867 50.5381773)",,,Loshardt,,
"[827373333, 827373334]",residential,,,False,"[False, True]",108.782,"LINESTRING (6.5497608 50.5374421, 6.5490872 50.537275, 6.5493134 50.5368643, 6.5493688 50.5367885)",,,Loshardt,,
89514183,residential,30,,False,False,126.012,"LINESTRING (6.5509655 50.5409815, 6.5509344 50.5411307, 6.5509019 50.5411806, 6.5507061 50.5413605, 6.5506278 50.5413957, 6.5503704 50.5414555, 6.550121 50.5415277, 6.549908 50.5416098, 6.5497378 50.5417024)",,,Auf dem Büchel,,
390645652,residential,,,False,True,35.095,"LINESTRING (6.5509655 50.5409815, 6.5510136 50.5408231, 6.5511737 50.5407071)",,,Auf dem Büchel,,
390645652,residential,,,False,False,35.095,"LINESTRING (6.5511737 50.5407071, 6.5510136 50.5408231, 6.5509655 50.5409815)",,,Auf dem Büchel,,
390645652,residential,,,False,True,67.938,"LINESTRING (6.5511737 50.5407071, 6.551279 50.5407834, 6.5513303 50.5408206, 6.5514606 50.5408946, 6.551583 50.5409691, 6.5516253 50.5409949, 6.5518687 50.5411279)",,,Auf dem Büchel,,
41497293,residential,30,,False,False,19.014,"LINESTRING (6.5523029 50.5412664, 6.5522267 50.5414304)",,,Im Fleschengarten,,
"[118154953, 390645652]",residential,,,False,False,32.73,"LINESTRING (6.5523029 50.5412664, 6.5521164 50.5412164, 6.5518891 50.5411352)",,,Auf dem Büchel,,
118154953,residential,,,False,True,166.966,"LINESTRING (6.5523029 50.5412664, 6.5524599 50.5412817, 6.5526187 50.5412716, 6.5527464 50.5412483, 6.5528176 50.541216, 6.5529343 50.5411047, 6.5530357 50.5409347, 6.5530683 50.5408929, 6.5531426 50.5408609, 6.5532235 50.5408414, 6.5533355 50.5408305, 6.553567 50.5408143, 6.5537908 50.5407964, 6.5538862 50.5407842, 6.5539696 50.5407675, 6.554059 50.5407333, 6.5540965 50.5407052, 6.5541185 50.5406787, 6.5541319 50.5406441, 6.5541228 50.5406092)",,,Auf dem Büchel,,
89525222,residential,30,,False,False,95.157,"LINESTRING (6.5541228 50.5406092, 6.5540895 50.5405525, 6.5540412 50.5405227, 6.5539823 50.5404949, 6.5539016 50.5404595, 6.5537647 50.5404077, 6.5530087 50.5401563)",,,Aachener Straße,,
"[390655323, 89525245]",living_street,,,False,True,87.947,"LINESTRING (6.5541228 50.5406092, 6.5541804 50.5406067, 6.5544075 50.540695, 6.5546172 50.5407764, 6.5547045 50.5407958, 6.5551531 50.540853, 6.5552746 50.5408711)",,,Aachener Straße,,
118154953,residential,,,False,False,166.966,"LINESTRING (6.5541228 50.5406092, 6.5541319 50.5406441, 6.5541185 50.5406787, 6.5540965 50.5407052, 6.554059 50.5407333, 6.5539696 50.5407675, 6.5538862 50.5407842, 6.5537908 50.5407964, 6.553567 50.5408143, 6.5533355 50.5408305, 6.5532235 50.5408414, 6.5531426 50.5408609, 6.5530683 50.5408929, 6.5530357 50.5409347, 6.5529343 50.5411047, 6.5528176 50.541216, 6.5527464 50.5412483, 6.5526187 50.5412716, 6.5524599 50.5412817, 6.5523029 50.5412664)",,,Auf dem Büchel,,
"[1017426796, 89527509, 89514742]",secondary,50,,False,False,192.60699999999997,"LINESTRING (6.5571609 50.5425379, 6.5575692 50.5422516, 6.5582549 50.5417677, 6.5583785 50.5416875, 6.5585196 50.5415941, 6.5587456 50.5414812, 6.5590207 50.5413869, 6.559122 50.5413558)",2,L 204,Gemünder Straße,,
118158388,residential,50,,False,True,184.64999999999998,"LINESTRING (6.5571609 50.5425379, 6.557131 50.5425216, 6.5570793 50.5424933, 6.5570322 50.5424553, 6.5570092 50.54242, 6.5569372 50.5422015, 6.5569171 50.5421406, 6.5568793 50.5420559, 6.5568521 50.5420085, 6.5567543 50.5418817, 6.5567358 50.5418417, 6.5567292 50.5418024, 6.556744 50.5417577, 6.5567747 50.541711, 6.5568671 50.5416035, 6.5569097 50.541567, 6.5570189 50.5414876, 6.5570589 50.5414425, 6.5570792 50.5414011, 6.5570822 50.5412925, 6.5570807 50.541184, 6.557081 50.5411468, 6.5570938 50.5410868, 6.5571067 50.5410077)",1,,Im Sträßchen,,4.5
57034859,residential,30,,False,True,172.88800000000003,"LINESTRING (6.5554459 50.5409752, 6.5553625 50.5410945, 6.5552898 50.5411846, 6.555178 50.5412731, 6.5550705 50.5413438, 6.5548141 50.5415024, 6.5546023 50.5416252, 6.5544686 50.5417008, 6.5542763 50.5417898, 6.553981 50.5419062, 6.5536819 50.5420085)",,,Eisenauerstraße,,
118154997,residential,50,,False,False,16.883,"LINESTRING (6.5554459 50.5409752, 6.5553254 50.5409146, 6.5552746 50.5408711)",,,Aachener Straße,,
118154997,residential,50,,False,True,41.016999999999996,"LINESTRING (6.5554459 50.5409752, 6.5558239 50.5411495, 6.5559259 50.541181)",,,Aachener Straße,,
89514632,residential,,,False,False,7.446,"LINESTRING (6.5551082 50.5401105, 6.5551397 50.5401744)",,,Im Vogtpesch,,
43157337,residential,,,False,False,70.719,"LINESTRING (6.5607277 50.5398301, 6.5606812 50.5397158, 6.5603419 50.5392449)",,,Kropelspfad,,
43157337,residential,,,False,True,131.477,"LINESTRING (6.5607277 50.5398301, 6.5607557 50.5398886, 6.5615107 50.540902)",,,Kropelspfad,,
