osmid,highway,oneway,reversed,length,ref,geometry,name
523564672,unclassified,False,True,118.709,,"LINESTRING (73.8903886 25.05782, 73.8892762 25.0581725)",
"[520446668, 520446669]",unclassified,False,"[False, True]",161.053,,"LINESTRING (73.8903886 25.05782, 73.8905687 25.0582685, 73.891583 25.0579541)",
520446666,unclassified,False,True,187.588,,"LINESTRING (73.8921648 25.057313, 73.8903886 25.05782)",
520446670,unclassified,False,False,29.513,,"LINESTRING (73.8921648 25.057313, 73.892127 25.0570498)",
520446670,unclassified,False,True,100.685,,"LINESTRING (73.8921648 25.057313, 73.8922939 25.0582109)",
520446667,unclassified,False,False,124.83,,"LINESTRING (73.89028 25.0575495, 73.8914439 25.057164)",
520446669,unclassified,False,False,12.815,,"LINESTRING (73.89028 25.0575495, 73.8903235 25.0576578)",
520446669,unclassified,False,True,22.767,,"LINESTRING (73.89028 25.0575495, 73.8902027 25.0573571)",
520446667,unclassified,False,True,71.643,,"LINESTRING (73.8921115 25.0569418, 73.8914439 25.057164)",
520446670,unclassified,False,False,24.849,,"LINESTRING (73.8921115 25.0569418, 73.8920796 25.0567202)",
520446670,unclassified,False,True,12.11,,"LINESTRING (73.8921115 25.0569418, 73.892127 25.0570498)",
520446665,unclassified,False,False,88.966,,"LINESTRING (73.891583 25.0579541, 73.8914439 25.057164)",
520446665,unclassified,False,True,55.975,,"LINESTRING (73.891583 25.0579541, 73.8916685 25.0584515)",
"[520446668, 520446669]",unclassified,False,"[False, True]",161.053,,"LINESTRING (73.891583 25.0579541, 73.8905687 25.0582685, 73.8903886 25.05782)",
520446669,unclassified,False,False,22.767,,"LINESTRING (73.8902027 25.0573571, 73.89028 25.0575495)",
520458311,tertiary,False,False,119.99,,"LINESTRING (73.8902027 25.0573571, 73.8899529 25.056302)",Kamal Tlai Road
894928325,primary,False,False,23.02,SH12,"LINESTRING (73.8902027 25.0573571, 73.890351 25.0573155, 73.8904188 25.0572903)",
894928325,primary,False,True,154.56799999999998,SH12,"LINESTRING (73.8902027 25.0573571, 73.8898431 25.057458, 73.8894695 25.0574937, 73.8892974 25.0575101, 73.8888044 25.0575925, 73.8887022 25.0576241)",
520446670,unclassified,False,False,100.685,,"LINESTRING (73.8922939 25.0582109, 73.8921648 25.057313)",
520446670,unclassified,False,True,24.849,,"LINESTRING (73.8920796 25.0567202, 73.8921115 25.0569418)",
894928325,primary,False,False,95.517,SH12,"LINESTRING (73.8920796 25.0567202, 73.8928213 25.0564833, 73.8929669 25.0564194)",
894928325,primary,False,True,178.957,SH12,"LINESTRING (73.8920796 25.0567202, 73.8911667 25.0570119, 73.8904188 25.0572903)",
520446670,unclassified,False,False,12.11,,"LINESTRING (73.892127 25.0570498, 73.8921115 25.0569418)",
520446670,unclassified,False,True,29.513,,"LINESTRING (73.892127 25.0570498, 73.8921648 25.057313)",
523564671,unclassified,False,False,74.95,,"LINESTRING (73.892127 25.0570498, 73.8928511 25.0568947)",
523564671,unclassified,False,True,74.95,,"LINESTRING (73.8928511 25.0568947, 73.892127 25.0570498)",
523564672,unclassified,False,False,118.709,,"LINESTRING (73.8892762 25.0581725, 73.8903886 25.05782)",
523564673,unclassified,False,False,117.996,,"LINESTRING (73.8892147 25.0580001, 73.8903235 25.0576578)",
520446669,unclassified,False,False,19.191,,"LINESTRING (73.8903235 25.0576578, 73.8903886 25.05782)",
520446669,unclassified,False,True,12.815,,"LINESTRING (73.8903235 25.0576578, 73.89028 25.0575495)",
523564673,unclassified,False,True,117.996,,"LINESTRING (73.8903235 25.0576578, 73.8892147 25.0580001)",
894928325,primary,False,False,41.735,SH12,"LINESTRING (73.8870937 25.0581267, 73.8874823 25.0579965)",
894928325,primary,False,True,39.86,SH12,"LINESTRING (73.8870937 25.0581267, 73.8867163 25.0582345)",
895030566,residential,False,False,37.584,,"LINESTRING (73.8870937 25.0581267, 73.8871851 25.0582261, 73.8873507 25.0583711)",
523564675,residential,False,False,14.854,,"LINESTRING (73.8873961 25.0586303, 73.8875188 25.0585562)",
523564675,residential,False,True,159.576,,"LINESTRING (73.8873961 25.0586303, 73.8872632 25.0586284, 73.8871259 25.0586497, 73.8868233 25.0587293, 73.8862547 25.0589032, 73.8858864 25.0590369)",
992406613,residential,False,False,137.585,,"LINESTRING (73.8873961 25.0586303, 73.8871015 25.0588101, 73.8869384 25.0588846, 73.8868121 25.0589458, 73.8866632 25.0589916, 73.8864746 25.0590325, 73.8861474 25.0590914)",
523564675,residential,False,True,14.854,,"LINESTRING (73.8875188 25.0585562, 73.8873961 25.0586303)",
895030566,residential,False,False,24.056,,"LINESTRING (73.8875188 25.0585562, 73.8876824 25.0587138)",
895030566,residential,False,True,26.652,,"LINESTRING (73.8875188 25.0585562, 73.8873507 25.0583711)",
992406621,residential,False,True,59.881,,"LINESTRING (73.8875188 25.0585562, 73.8880777 25.0583727)",
520446663,tertiary,False,False,34.405,,"LINESTRING (73.8853925 25.0600216, 73.8852685 25.0597333)",Jain Temple Road
520446663,tertiary,False,True,124.071,,"LINESTRING (73.8853925 25.0600216, 73.8859378 25.0610221)",Jain Temple Road
175787438,tertiary,False,False,16.061,,"LINESTRING (73.8928259 25.0558963, 73.892788 25.055756)",
175787438,tertiary,False,True,59.875,,"LINESTRING (73.8928259 25.0558963, 73.8929669 25.0564194)",
175787438,tertiary,False,False,10.092,,"LINESTRING (73.8924815 25.0546556, 73.8924375 25.0546353, 73.8923906 25.054653)",
175787438,tertiary,False,True,26.513,,"LINESTRING (73.8924815 25.0546556, 73.8925148 25.0546875, 73.8925269 25.0547271, 73.8925275 25.0547809, 73.892506 25.0548321, 73.8924737 25.0548661)",
