osmid,highway,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes
387917693,residential,False,True,174.64799999999997,"LINESTRING (93.7087838 24.3419019, 93.708926 24.341553, 93.7091262 24.3407624, 93.7094504 24.3405122)",,,,
387917693,residential,False,True,158.207,"LINESTRING (93.7082402 24.3432357, 93.7087838 24.3419019)",,,,
387917693,residential,False,False,172.831,"LINESTRING (93.7082402 24.3432357, 93.7081769 24.343391, 93.7079025 24.3440937, 93.7078654 24.3447356)",,,,
388014829,residential,False,False,322.197,"LINESTRING (93.7082402 24.3432357, 93.7076616 24.3430674, 93.7075807 24.3430648, 93.7075166 24.3431029, 93.7075027 24.3431499, 93.7074051 24.3436909, 93.7072922 24.3441621, 93.7072936 24.3447082, 93.7073354 24.3447716, 93.7073953 24.3448009, 93.7074692 24.3448097, 93.7076142 24.3448059, 93.7078654 24.3447356)",,,,
388014829,residential,False,True,204.22,"LINESTRING (93.7082402 24.3432357, 93.7083488 24.3432744, 93.7084045 24.3433048, 93.7084226 24.3433696, 93.708385 24.3435766, 93.7083892 24.343682, 93.7084101 24.34379, 93.7084631 24.3439068, 93.7085174 24.3439792, 93.7085857 24.3440681, 93.7087446 24.3441799, 93.7093108 24.3444827, 93.7093747 24.3445311)",,,,
387917680,residential,False,False,51.605,"LINESTRING (93.7084922 24.3448542, 93.7080286 24.3450465)",,,,
387917680,residential,False,True,96.45,"LINESTRING (93.7084922 24.3448542, 93.7086832 24.3447742, 93.7092583 24.344561, 93.7093747 24.3445311)",,,,
676861476,tertiary,False,False,23.778,"LINESTRING (93.7013189 24.3414991, 93.7015536 24.341499)",Nehru Marg,40,,2
676861476,tertiary,False,True,108.75,"LINESTRING (93.7013189 24.3414991, 93.7002455 24.3414913)",Nehru Marg,40,,2
693882032,living_street,False,True,106.154,"LINESTRING (93.7013189 24.3414991, 93.7012936 24.341849, 93.7012666 24.3422215, 93.7012499 24.3424517)",,,,
677202757,tertiary,False,True,68.679,"LINESTRING (93.7009485 24.337705, 93.700722 24.3376369, 93.7006286 24.3376411, 93.7002857 24.3376)",Lailam Veng,30,,2
1191619601,residential,False,False,77.183,"LINESTRING (93.7009485 24.337705, 93.7010461 24.3377032, 93.7010938 24.3376489, 93.7012416 24.3373882, 93.7013612 24.3371719)",,,,
676861476,tertiary,False,False,108.75,"LINESTRING (93.7002455 24.3414913, 93.7013189 24.3414991)",Nehru Marg,40,,2
387917668,residential,False,True,102.686,"LINESTRING (93.7002455 24.3414913, 93.7002116 24.3419855, 93.7002144 24.3424138)",,,,
913308361,residential,False,True,93.16900000000001,"LINESTRING (93.705107 24.3449218, 93.7049755 24.3449046, 93.7046054 24.3448167, 93.7042388 24.3446613)",,,,
