osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,bridge
493372672,,residential,False,False,203.464,,,"LINESTRING (-69.0411218 18.7553652, -69.0413283 18.7549531, -69.0413498 18.7548619, -69.0413069 18.7547888, -69.0413069 18.7546428, -69.0413069 18.754484, -69.041221 18.7542727, -69.0410923 18.7540167, -69.0409976 18.7537729, -69.0409693 18.7536538)",,
493372672,,residential,False,False,87.987,,,"LINESTRING (-69.0392187 18.7593916, -69.039772 18.7587986)",,
493372672,,residential,False,True,97.858,,,"LINESTRING (-69.0392187 18.7593916, -69.0385194 18.7599713)",,
493373459,,residential,False,False,47.621,,,"LINESTRING (-69.0392187 18.7593916, -69.0389051 18.759083)",,
493373459,,residential,False,True,55.935,,,"LINESTRING (-69.0392187 18.7593916, -69.0395014 18.7598175)",,
493372673,,residential,False,False,96.028,,,"LINESTRING (-69.038197 18.7596273, -69.0389051 18.759083)",,
493372671,,residential,False,False,53.12,,,"LINESTRING (-69.038197 18.7596273, -69.0380177 18.7593146, -69.0380177 18.7591927)",,
493372671,,residential,False,True,51.865,,,"LINESTRING (-69.038197 18.7596273, -69.038298 18.7597695, -69.0384461 18.7598711, -69.0385194 18.7599713)",,
493372852,,residential,False,False,75.898,,,"LINESTRING (-69.0389955 18.7583516, -69.0394244 18.757803)",,
493372852,,residential,False,True,68.039,,,"LINESTRING (-69.0389955 18.7583516, -69.0385449 18.7587902)",,
493372918,,residential,False,False,44.413,,,"LINESTRING (-69.0389955 18.7583516, -69.0386951 18.7580712)",,
493372918,,residential,False,True,46.829,,,"LINESTRING (-69.0389955 18.7583516, -69.0393643 18.758587)",,
493372856,,residential,False,False,65.244,,,"LINESTRING (-69.0414371 18.7581034, -69.0408393 18.7579489)",,
493372858,,residential,False,True,40.818,,,"LINESTRING (-69.0390813 18.7576321, -69.0394244 18.757803)",,
493372872,,residential,False,False,26.178,,,"LINESTRING (-69.0390813 18.7576321, -69.0391712 18.7574126)",,
493372872,,residential,False,True,63.541,,,"LINESTRING (-69.0390813 18.7576321, -69.0386951 18.7580712)",,
493372852,,residential,False,True,75.898,,,"LINESTRING (-69.0394244 18.757803, -69.0389955 18.7583516)",,
493372858,,residential,False,False,40.818,,,"LINESTRING (-69.0394244 18.757803, -69.0390813 18.7576321)",,
493372858,,residential,False,True,17.62,,,"LINESTRING (-69.0394244 18.757803, -69.0395789 18.7578639)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,11.198,,,"LINESTRING (-69.0408393 18.7579489, -69.040878 18.7578551)",,
493372856,,residential,False,True,65.244,,,"LINESTRING (-69.0408393 18.7579489, -69.0414371 18.7581034)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,False,60.102000000000004,,,"LINESTRING (-69.0408393 18.7579489, -69.0408159 18.7580311, -69.0406241 18.7584487)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,False,28.402,,,"LINESTRING (-69.0411803 18.7567586, -69.0411166 18.7570068)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,55.669,,,"LINESTRING (-69.0411803 18.7567586, -69.041302 18.7562714)",,
493372858,,residential,False,False,56.581,,,"LINESTRING (-69.0406241 18.7584487, -69.0401843 18.7581563)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,False,87.11099999999999,,,"LINESTRING (-69.0406241 18.7584487, -69.0404163 18.7587943, -69.0401641 18.7590972)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,60.102000000000004,,,"LINESTRING (-69.0406241 18.7584487, -69.0408159 18.7580311, -69.0408393 18.7579489)",,
493372852,,residential,False,False,68.039,,,"LINESTRING (-69.0385449 18.7587902, -69.0389955 18.7583516)",,
493372852,,residential,False,True,71.304,,,"LINESTRING (-69.0385449 18.7587902, -69.0380177 18.7591927)",,
493373459,,residential,False,False,47.757,,,"LINESTRING (-69.0385449 18.7587902, -69.0382485 18.7584651)",,
493373459,,residential,False,True,49.983,,,"LINESTRING (-69.0385449 18.7587902, -69.0389051 18.759083)",,
493372872,,residential,False,False,63.541,,,"LINESTRING (-69.0386951 18.7580712, -69.0390813 18.7576321)",,
493372872,,residential,False,True,64.261,,,"LINESTRING (-69.0386951 18.7580712, -69.0382485 18.7584651)",,
493372918,,residential,False,False,40.812,,,"LINESTRING (-69.0386951 18.7580712, -69.0384502 18.7577867)",,
493372918,,residential,False,True,44.413,,,"LINESTRING (-69.0386951 18.7580712, -69.0389955 18.7583516)",,
493372673,,residential,False,False,39.403,,,"LINESTRING (-69.0398589 18.75721, -69.0400253 18.7568926)",,
493372673,,residential,False,True,27.683,,,"LINESTRING (-69.0398589 18.75721, -69.039742 18.757433)",,
493372874,,residential,False,True,32.425,,,"LINESTRING (-69.0398589 18.75721, -69.0395789 18.7573314)",,
493372671,,residential,False,False,64.367,,,"LINESTRING (-69.0378975 18.758673, -69.0376196 18.7581574)",,
493372872,,residential,False,False,43.591,,,"LINESTRING (-69.0378975 18.758673, -69.0382485 18.7584651)",,
493372671,,residential,False,True,59.269000000000005,,,"LINESTRING (-69.0378975 18.758673, -69.0379139 18.7588106, -69.0380177 18.7591927)",,
493372872,,residential,False,True,26.178,,,"LINESTRING (-69.0391712 18.7574126, -69.0390813 18.7576321)",,
493372920,,residential,False,False,30.539,,,"LINESTRING (-69.0391712 18.7574126, -69.0388837 18.7573763)",,
493372872,,residential,False,False,44.525999999999996,,,"LINESTRING (-69.0391712 18.7574126, -69.0393815 18.7573357, -69.0395789 18.7573314)",,
493372872,,residential,False,False,20.556,,,"LINESTRING (-69.0395789 18.7573314, -69.039742 18.757433)",,
