osmid,name,highway,oneway,reversed,length,geometry,maxspeed
352410420,Avenida Luiz Borges do Nascimento,residential,False,True,117.159,"LINESTRING (-48.029619 -20.1752809, -48.0285452 -20.1755879)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,85.874,"LINESTRING (-48.029619 -20.1752809, -48.0298434 -20.1760239)",
352410422,Avenida Alexandre Jorge,residential,False,False,111.25,"LINESTRING (-48.0298434 -20.1760239, -48.0308653 -20.1757394)",
352410422,Avenida Alexandre Jorge,residential,False,True,116.403,"LINESTRING (-48.0298434 -20.1760239, -48.0287772 -20.176331)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,112.527,"LINESTRING (-48.0298434 -20.1760239, -48.0301123 -20.1770039)",
352614158,Rua Antônio Bento Peixoto,residential,False,True,85.874,"LINESTRING (-48.0298434 -20.1760239, -48.029619 -20.1752809)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,115.217,"LINESTRING (-48.0301123 -20.1770039, -48.0304107 -20.1780015)",
352614158,Rua Antônio Bento Peixoto,residential,False,True,112.527,"LINESTRING (-48.0301123 -20.1770039, -48.0298434 -20.1760239)",
1000634715,Avenida Gregório Manuel Pereira,residential,False,False,113.169,"LINESTRING (-48.0301123 -20.1770039, -48.0290836 -20.1773256)",
1000634715,Avenida Gregório Manuel Pereira,residential,False,True,114.316,"LINESTRING (-48.0301123 -20.1770039, -48.031159 -20.1767011)",
235160916,Avenida Antônio Alves Figueira,residential,False,True,112.733,"LINESTRING (-48.0304107 -20.1780015, -48.0314434 -20.1777044)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,53.39,"LINESTRING (-48.0304107 -20.1780015, -48.0305636 -20.1784597)",
352614158,Rua Antônio Bento Peixoto,residential,False,True,115.217,"LINESTRING (-48.0304107 -20.1780015, -48.0301123 -20.1770039)",
235160916,Avenida Antônio Alves Figueira,residential,False,False,113.968,"LINESTRING (-48.0304107 -20.1780015, -48.0302605 -20.1780481, -48.0301264 -20.1780971, -48.0298863 -20.1781664, -48.0296302 -20.1782394, -48.0293714 -20.1783149)",
172549303,Avenida Leopoldo Carlos de Oliveira,secondary,False,False,112.006,"LINESTRING (-48.0307245 -20.1789984, -48.0317491 -20.1786988)",
172549303,Avenida Leopoldo Carlos de Oliveira,secondary,False,True,116.722,"LINESTRING (-48.0307245 -20.1789984, -48.0296543 -20.1793031)",
352614158,Rua Antônio Bento Peixoto,residential,False,False,113.666,"LINESTRING (-48.0307245 -20.1789984, -48.0309899 -20.1799898)",
352614158,Rua Antônio Bento Peixoto,residential,False,True,62.21,"LINESTRING (-48.0307245 -20.1789984, -48.0305636 -20.1784597)",
235153863,Avenida Francisco Antônio de Freitas,secondary,True,False,113.785,"LINESTRING (-48.0309899 -20.1799898, -48.0299498 -20.1802965)",30
