osmid,name,highway,oneway,reversed,length,ref,geometry,junction
222531366,Praça João Pessoa,residential,True,False,126.867,,"LINESTRING (-46.7923006 -22.8806925, -46.7921579 -22.8814687, -46.7921297 -22.881701, -46.792087 -22.8818143)",
22815247,Rodovia Engenheiro Constancio Cintra,primary,False,False,136.732,SP-360,"LINESTRING (-46.7935637 -22.8808865, -46.793897 -22.8796958)",
1180001423,Rodovia Engenheiro Constancio Cintra,primary,False,True,126.777,SP-360,"LINESTRING (-46.7935637 -22.8808865, -46.7933743 -22.8820132)",
1180001424,Avenida Paulo Gomes,residential,False,False,131.185,,"LINESTRING (-46.7935637 -22.8808865, -46.7923006 -22.8806925)",
222531445,Avenida Paulo Gomes,residential,False,True,133.728,,"LINESTRING (-46.7935637 -22.8808865, -46.7946827 -22.8811532, -46.7948263 -22.8811916)",
222531410,Rua Felício Brognara,residential,False,True,64.467,,"LINESTRING (-46.7948263 -22.8811916, -46.7947409 -22.881766)",
222531445,Avenida Paulo Gomes,residential,False,False,133.728,,"LINESTRING (-46.7948263 -22.8811916, -46.7946827 -22.8811532, -46.7935637 -22.8808865)",
1180001422,Avenida Paulo Gomes,residential,False,True,153.922,,"LINESTRING (-46.7948263 -22.8811916, -46.7959546 -22.8815489, -46.7962524 -22.8816262)",
1180001419,Rua Antonio Amalfi,residential,False,False,97.731,,"LINESTRING (-46.7911693 -22.8813449, -46.7910738 -22.8804704)",
222531319,Rua Elvira Laurentes Tobias,residential,False,False,90.815,,"LINESTRING (-46.7903863 -22.8813573, -46.7904305 -22.8805416)",
222531426,Rua Euclides de Moraes,residential,False,True,49.972,,"LINESTRING (-46.7889803 -22.8815193, -46.7893057 -22.8818541)",
1180001430,Rua Carlos Miguel de Oliveira,residential,False,False,84.216,,"LINESTRING (-46.7889803 -22.8815193, -46.7888108 -22.8822604)",
222531415,Rua Carlos Miguel de Oliveira,residential,False,True,113.173,,"LINESTRING (-46.7889803 -22.8815193, -46.789033 -22.8811413, -46.7891041 -22.880508)",
222531395,Rua Luiz Frare,residential,False,True,169.26,,"LINESTRING (-46.7962524 -22.8816262, -46.7960305 -22.8818804, -46.7959526 -22.8818914, -46.7947409 -22.881766)",
1180001422,Avenida Paulo Gomes,residential,False,False,153.922,,"LINESTRING (-46.7962524 -22.8816262, -46.7959546 -22.8815489, -46.7948263 -22.8811916)",
"[1180001442, 222531434]","['Avenida Paulo Gomes', 'Rua José Bovolenta']",residential,False,"[False, True]",148.587,,"LINESTRING (-46.7962524 -22.8816262, -46.7965143 -22.8816833, -46.7966502 -22.8817478, -46.7967242 -22.8818546, -46.7960855 -22.8824268)",
222531410,Rua Felício Brognara,residential,False,False,64.467,,"LINESTRING (-46.7947409 -22.881766, -46.7948263 -22.8811916)",
222531410,Rua Felício Brognara,residential,False,True,48.702,,"LINESTRING (-46.7947409 -22.881766, -46.7946913 -22.8822016)",
222531395,Rua Luiz Frare,residential,False,False,169.26,,"LINESTRING (-46.7947409 -22.881766, -46.7959526 -22.8818914, -46.7960305 -22.8818804, -46.7962524 -22.8816262)",
222531447,Rua Sebastião de O Cunha,residential,False,False,53.553,,"LINESTRING (-46.7913729 -22.8818124, -46.7913843 -22.8822939)",
"[222531426, 624411388]","['Rua Euclides de Moraes', 'Rua São Judas Tadeu']",residential,False,False,181.16299999999998,,"LINESTRING (-46.7913729 -22.8818124, -46.7905589 -22.8818411, -46.7903501 -22.8817741, -46.790279 -22.8817407, -46.7901907 -22.8817333, -46.790127 -22.8817524, -46.7900838 -22.8818008, -46.7900504 -22.8818672, -46.7900759 -22.8821886)",
624411388,Rua São Judas Tadeu,residential,False,True,73.16,,"LINESTRING (-46.7913729 -22.8818124, -46.7919701 -22.8818163, -46.792087 -22.8818143)",
222531426,Rua Euclides de Moraes,residential,False,False,49.972,,"LINESTRING (-46.7893057 -22.8818541, -46.7889803 -22.8815193)",
222531403,Rua Abel Vicente,residential,False,False,160.55599999999998,,"LINESTRING (-46.7893057 -22.8818541, -46.7896815 -22.8814496, -46.7897163 -22.8813277, -46.7897575 -22.8805432)",
222531426,Rua Euclides de Moraes,residential,False,True,130.044,,"LINESTRING (-46.7893057 -22.8818541, -46.7897597 -22.8823727, -46.7898539 -22.8824541, -46.789931 -22.8824565, -46.790002 -22.88241, -46.7900459 -22.8823198, -46.7900759 -22.8821886)",
1180001423,Rodovia Engenheiro Constancio Cintra,primary,False,False,126.777,SP-360,"LINESTRING (-46.7933743 -22.8820132, -46.7935637 -22.8808865)",
1180001423,Rodovia Engenheiro Constancio Cintra,primary,False,True,76.388,SP-360,"LINESTRING (-46.7933743 -22.8820132, -46.7932714 -22.8826936)",
1180001427,Rua 13 de Maio,residential,False,True,136.537,,"LINESTRING (-46.7933743 -22.8820132, -46.7946913 -22.8822016)",
1180001427,Rua 13 de Maio,residential,False,False,133.751,,"LINESTRING (-46.7933743 -22.8820132, -46.7921807 -22.8818357, -46.792087 -22.8818143)",
222531397,Rua Maria Alves,residential,False,True,136.826,,"LINESTRING (-46.7900759 -22.8821886, -46.7903394 -22.8822982, -46.7903871 -22.8823089, -46.7904515 -22.8823107, -46.7913843 -22.8822939)",
222531426,Rua Euclides de Moraes,residential,False,False,130.04399999999998,,"LINESTRING (-46.7900759 -22.8821886, -46.7900459 -22.8823198, -46.790002 -22.88241, -46.789931 -22.8824565, -46.7898539 -22.8824541, -46.7897597 -22.8823727, -46.7893057 -22.8818541)",
"[222531426, 624411388]","['Rua Euclides de Moraes', 'Rua São Judas Tadeu']",residential,False,True,181.16299999999998,,"LINESTRING (-46.7900759 -22.8821886, -46.7900504 -22.8818672, -46.7900838 -22.8818008, -46.790127 -22.8817524, -46.7901907 -22.8817333, -46.790279 -22.8817407, -46.7903501 -22.8817741, -46.7905589 -22.8818411, -46.7913729 -22.8818124)",
222531410,Rua Felício Brognara,residential,False,False,48.702,,"LINESTRING (-46.7946913 -22.8822016, -46.7947409 -22.881766)",
1180001427,Rua 13 de Maio,residential,False,False,136.537,,"LINESTRING (-46.7946913 -22.8822016, -46.7933743 -22.8820132)",
1180001428,Rua Felício Brognara,residential,False,True,76.818,,"LINESTRING (-46.7946913 -22.8822016, -46.7945731 -22.8828838)",
222531298,Rua 13 de Maio,residential,False,True,79.397,,"LINESTRING (-46.7946913 -22.8822016, -46.7951388 -22.88229, -46.7954491 -22.8823513)",
