osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,access,geometry
129929320,False,2,Rua Saturnino de Pádua,residential,30,True,42.552,,,"LINESTRING (-44.9965074 -21.2382416, -44.9963718 -21.2386028)"
129929336,True,1,Rua Venesa,residential,30,False,23.73,,,"LINESTRING (-44.9967389 -21.2382772, -44.9965309 -21.238188)"
660587337,False,2,Rua Benedito Valadares,secondary,40,True,4.482,,,"LINESTRING (-44.9949242 -21.2387045, -44.9949638 -21.2387207)"
838047641,False,2,Rua João Tenebra,residential,30,False,58.059,,,"LINESTRING (-44.9949242 -21.2387045, -44.9944446 -21.2389743)"
129929358,True,2,Travessa Comendador José Esteves,residential,30,False,75.537,,,"LINESTRING (-44.9971992 -21.2387796, -44.9969456 -21.2386124, -44.9968685 -21.2385318, -44.9967389 -21.2382772)"
129929370,True,1,Praça Dona Josefina,residential,30,False,82.474,,,"LINESTRING (-44.9978638 -21.2389511, -44.9980188 -21.2382236)"
367011017,False,2,Rua Desembargador Alberto Luz,residential,30,False,30.135,,,"LINESTRING (-44.9978638 -21.2389511, -44.9981499 -21.2389028)"
367011018,True,1,Rua Dona Inácia,residential,30,False,106.021,,,"LINESTRING (-44.9978638 -21.2389511, -44.9978829 -21.2399044)"
660587337,False,2,Rua Benedito Valadares,secondary,40,False,77.399,,,"LINESTRING (-44.9956467 -21.2390024, -44.9949638 -21.2387207)"
660587338,False,2,Rua Benedito Valadares,secondary,40,True,21.58,,,"LINESTRING (-44.9956467 -21.2390024, -44.9958391 -21.2390766)"
659343068,False,2,Rua João Matiolli,residential,30,True,9.008,,,"LINESTRING (-44.9956467 -21.2390024, -44.9956384 -21.2390324, -44.9956209 -21.2390797)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,False,69.941,,,"LINESTRING (-44.9961143 -21.2391842, -44.9963718 -21.2386028)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,True,82.513,,,"LINESTRING (-44.9961143 -21.2391842, -44.9957606 -21.239849)"
660587336,False,2,Rua Benedito Valadares,secondary,40,False,30.93,,,"LINESTRING (-44.9961143 -21.2391842, -44.9958391 -21.2390766)"
129929362,False,2,Rua Benjamim Constant,residential,30,False,35.616,,,"LINESTRING (-44.9948292 -21.2394008, -44.9950627 -21.2396358)"
129929369,False,2,Rua João Matiolli,residential,30,False,89.485,,,"LINESTRING (-44.9948292 -21.2394008, -44.9956209 -21.2390797)"
659326893,True,1,Rua Benedito Valadares,secondary,40,False,115.168,,,"LINESTRING (-44.99713 -21.2396043, -44.9961143 -21.2391842)"
129929368,True,2,Rua Comendador José Esteves,secondary,40,False,75.99600000000001,MG-335,,"LINESTRING (-44.99713 -21.2396043, -44.9972039 -21.2392455, -44.9972051 -21.2389274)"
129929332,False,2,Rua Edgart Silva,residential,30,True,91.008,,,"LINESTRING (-44.9950627 -21.2396358, -44.9948505 -21.24043)"
129929362,False,2,Rua Benjamim Constant,residential,30,False,76.118,,,"LINESTRING (-44.9950627 -21.2396358, -44.9957606 -21.239849)"
129929362,False,2,Rua Benjamim Constant,residential,30,True,35.616,,,"LINESTRING (-44.9950627 -21.2396358, -44.9948292 -21.2394008)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,False,82.513,,,"LINESTRING (-44.9957606 -21.239849, -44.9961143 -21.2391842)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,True,80.239,,,"LINESTRING (-44.9957606 -21.239849, -44.9954362 -21.2405042)"
129929362,False,2,Rua Benjamim Constant,residential,30,False,141.281,,,"LINESTRING (-44.9957606 -21.239849, -44.997068 -21.2402087)"
129929362,False,2,Rua Benjamim Constant,residential,30,True,76.118,,,"LINESTRING (-44.9957606 -21.239849, -44.9950627 -21.2396358)"
129857192,True,1,Rua Benedito Valadares,residential,30,False,84.868,,,"LINESTRING (-44.9978829 -21.2399044, -44.99713 -21.2396043)"
367011018,True,1,Rua Dona Inácia,residential,30,False,104.328,,,"LINESTRING (-44.9978829 -21.2399044, -44.9979149 -21.2401094, -44.9980061 -21.2404819, -44.9981219 -21.2408138)"
129929362,False,2,Rua Benjamim Constant,residential,30,True,141.281,,,"LINESTRING (-44.997068 -21.2402087, -44.9957606 -21.239849)"
129929368,True,2,Rua Comendador José Esteves,secondary,40,False,67.513,MG-335,,"LINESTRING (-44.997068 -21.2402087, -44.99713 -21.2396043)"
129929359,True,2,Rua Cincinato de Paulo,tertiary,40,False,55.782,,,"LINESTRING (-44.9989537 -21.2400822, -44.9991956 -21.2402319, -44.9992812 -21.2404487)"
660564762,True,2,Rua Getúlio Vargas,secondary,40,False,59.614,MG-335,,"LINESTRING (-44.9989537 -21.2400822, -44.9988889 -21.2405266, -44.9988738 -21.2406131)"
129929332,False,2,Rua Edgart Silva,residential,30,False,91.008,,,"LINESTRING (-44.9948505 -21.24043, -44.9950627 -21.2396358)"
129929357,False,2,Rua Venerando Pereira,secondary,40,True,61.261,,,"LINESTRING (-44.9948505 -21.24043, -44.9954362 -21.2405042)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,False,80.239,,,"LINESTRING (-44.9954362 -21.2405042, -44.9957606 -21.239849)"
129929357,False,2,Rua Venerando Pereira,secondary,40,False,61.261,,,"LINESTRING (-44.9954362 -21.2405042, -44.9948505 -21.24043)"
129929357,False,2,Rua Venerando Pereira,secondary,40,True,164.107,,,"LINESTRING (-44.9954362 -21.2405042, -44.9969884 -21.2407958)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,True,88.534,,,"LINESTRING (-44.9954362 -21.2405042, -44.9953315 -21.2407637, -44.9952107 -21.2412703)"
129929357,False,2,Rua Venerando Pereira,secondary,40,False,164.107,,,"LINESTRING (-44.9969884 -21.2407958, -44.9954362 -21.2405042)"
129929368,True,2,Rua Comendador José Esteves,secondary,40,False,34.723,MG-335,,"LINESTRING (-44.9969884 -21.2407958, -44.9970353 -21.2404866)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,False,44.191,,,"LINESTRING (-44.9951224 -21.2416591, -44.9952107 -21.2412703)"
384598844,True,1,Avenida Doutora Damina Zákia,residential,30,False,138.68800000000002,,,"LINESTRING (-44.9951224 -21.2416591, -44.9960022 -21.2416744, -44.9963885 -21.2417094, -44.9964428 -21.2417507)"
384598843,True,1,Rua Costa Pereira,residential,30,False,97.944,,,"LINESTRING (-44.9964428 -21.2417507, -44.9957727 -21.2423718)"
384593806,False,2,Rua Costa Pereira,residential,30,False,79.816,,,"LINESTRING (-44.9964428 -21.2417507, -44.9968255 -21.2413742, -44.9969779 -21.2412346)"
364838389,False,2,Rua Barbosa Lima,residential,30,False,62.057,,,"LINESTRING (-45.0023731 -21.2436716, -45.0028257 -21.2433062)"
364838389,False,2,Rua Barbosa Lima,residential,30,True,31.63,,,"LINESTRING (-45.0023731 -21.2436716, -45.0021494 -21.2438651)"
658555474,False,2,Rua Capitão José Ribeiro de Carvalho,residential,30,True,93.206,,,"LINESTRING (-45.0023731 -21.2436716, -45.0026752 -21.2439809, -45.0029823 -21.2442882)"
129929343,False,2,Rua Padre Luiz Tings,residential,30,False,60.419,,,"LINESTRING (-44.9955722 -21.2445699, -44.9951788 -21.2441689)"
