osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
88302948,False,residential,False,108.019,Rua Osvaldo Cruz,"LINESTRING (-42.7277752 -10.8183164, -42.7286624 -10.8178871)",,,
88302948,False,residential,True,66.203,Rua Osvaldo Cruz,"LINESTRING (-42.7277752 -10.8183164, -42.7272321 -10.8185808)",,,
88302961,False,residential,False,11.034,Rua Virgílio Moreira Bessa,"LINESTRING (-42.7288462 -10.8251267, -42.728767 -10.8251883)",,,
248767481,True,primary,False,118.291,Rua Virgílio Bessa,"LINESTRING (-42.7288462 -10.8251267, -42.7294761 -10.8259921)",2,,
88302961,False,residential,False,68.282,Rua Virgílio Moreira Bessa,"LINESTRING (-42.7283729 -10.8255595, -42.7278961 -10.8259567)",,,
88302961,False,residential,True,59.635,Rua Virgílio Moreira Bessa,"LINESTRING (-42.7283729 -10.8255595, -42.728767 -10.8251883)",,,
88302961,False,residential,True,68.282,Rua Virgílio Moreira Bessa,"LINESTRING (-42.7278961 -10.8259567, -42.7283729 -10.8255595)",,,
251110638,False,residential,False,52.802,Rua Carlos Santos,"LINESTRING (-42.7278961 -10.8259567, -42.7276219 -10.8255656)",,,
88302980,False,residential,True,127.069,Rua 24 de Outubro,"LINESTRING (-42.7311234 -10.8262077, -42.730497 -10.8252447)",,,
88302973,False,residential,True,49.286,Rua Goes Calmon,"LINESTRING (-42.7309884 -10.8233759, -42.7307695 -10.8229883)",,,
88302991,False,residential,False,58.089,Travessa Adão Bastos,"LINESTRING (-42.7309884 -10.8233759, -42.7305301 -10.823641)",,,
88302976,False,residential,False,52.587,Travessa Manoel Soares,"LINESTRING (-42.7309006 -10.8249868, -42.730497 -10.8252447)",,,
88302978,False,residential,False,148.075,Rua Castro Alves,"LINESTRING (-42.7309006 -10.8249868, -42.7301286 -10.8238921)",,,
88302976,False,residential,False,48.75,Travessa Manoel Soares,"LINESTRING (-42.730497 -10.8252447, -42.7301136 -10.8254692)",,,
88302976,False,residential,True,52.587,Travessa Manoel Soares,"LINESTRING (-42.730497 -10.8252447, -42.7309006 -10.8249868)",,,
88302980,False,residential,False,127.069,Rua 24 de Outubro,"LINESTRING (-42.730497 -10.8252447, -42.7311234 -10.8262077)",,,
88302980,False,residential,True,147.54,Rua 24 de Outubro,"LINESTRING (-42.730497 -10.8252447, -42.7297381 -10.824147)",,,
