osmid,oneway,lanes,ref,highway,reversed,length,geometry,name
491419192,False,,,residential,False,100.636,"LINESTRING (-39.700894 -12.7084739, -39.701811 -12.7083364)",
491419192,False,,,residential,True,41.108,"LINESTRING (-39.700894 -12.7084739, -39.7005163 -12.7085042)",
491419195,False,,,residential,False,52.584,"LINESTRING (-39.700894 -12.7084739, -39.7009569 -12.7089428)",
491419195,False,,,residential,False,50.561,"LINESTRING (-39.7009569 -12.7089428, -39.7010155 -12.7093939)",
491419195,False,,,residential,True,52.584,"LINESTRING (-39.7009569 -12.7089428, -39.700894 -12.7084739)",
491419196,False,,,residential,True,102.395,"LINESTRING (-39.7009569 -12.7089428, -39.701889 -12.7087971)",
491419197,False,,,residential,False,70.859,"LINESTRING (-39.7017306 -12.707704, -39.701811 -12.7083364)",
221145215,False,2,,residential,True,137.594,"LINESTRING (-39.7017306 -12.707704, -39.7009072 -12.7077694, -39.7004665 -12.7078067)",Rua 07 de Setembro
491419196,False,,,residential,False,102.395,"LINESTRING (-39.701889 -12.7087971, -39.7009569 -12.7089428)",
491419197,False,,,residential,False,53.806,"LINESTRING (-39.701889 -12.7087971, -39.7019635 -12.7092755)",
491419197,False,,,residential,True,51.922,"LINESTRING (-39.701889 -12.7087971, -39.701811 -12.7083364)",
491419195,False,,,residential,False,45.77,"LINESTRING (-39.7011802 -12.7104022, -39.7012383 -12.7108099)",
491419195,False,,,residential,True,72.557,"LINESTRING (-39.7011802 -12.7104022, -39.70107 -12.7097586)",
491419198,False,,,residential,False,50.122,"LINESTRING (-39.7011802 -12.7104022, -39.7016364 -12.7103305)",
491419197,False,,,residential,True,53.806,"LINESTRING (-39.7019635 -12.7092755, -39.701889 -12.7087971)",
491419199,False,,,residential,False,51.188,"LINESTRING (-39.7019635 -12.7092755, -39.7014953 -12.7093331)",
491419195,False,,,residential,False,40.981,"LINESTRING (-39.7010155 -12.7093939, -39.70107 -12.7097586)",
491419195,False,,,residential,True,50.561,"LINESTRING (-39.7010155 -12.7093939, -39.7009569 -12.7089428)",
491419199,False,,,residential,True,52.481,"LINESTRING (-39.7010155 -12.7093939, -39.7014953 -12.7093331)",
491419199,False,,,residential,False,52.481,"LINESTRING (-39.7014953 -12.7093331, -39.7010155 -12.7093939)",
491419199,False,,,residential,True,51.188,"LINESTRING (-39.7014953 -12.7093331, -39.7019635 -12.7092755)",
491419200,False,,,residential,False,111.957,"LINESTRING (-39.7014953 -12.7093331, -39.7016364 -12.7103305)",
491419198,False,,,residential,True,50.122,"LINESTRING (-39.7016364 -12.7103305, -39.7011802 -12.7104022)",
491419200,False,,,residential,False,46.099,"LINESTRING (-39.7016364 -12.7103305, -39.7017204 -12.7107369)",
491419200,False,,,residential,True,111.957,"LINESTRING (-39.7016364 -12.7103305, -39.7014953 -12.7093331)",
491419194,False,,,residential,False,52.866,"LINESTRING (-39.7018716 -12.7117474, -39.7013869 -12.7117972)",
491419200,False,,,residential,True,113.553,"LINESTRING (-39.7018716 -12.7117474, -39.7017204 -12.7107369)",
491419200,False,,,residential,False,113.553,"LINESTRING (-39.7017204 -12.7107369, -39.7018716 -12.7117474)",
491419200,False,,,residential,True,46.099,"LINESTRING (-39.7017204 -12.7107369, -39.7016364 -12.7103305)",
