osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes
477896421,,,residential,True,False,59.169,"LINESTRING (-44.4898038 -20.3940851, -44.4897987 -20.3946172)",,,
477896426,,Rua Dona Purcina,residential,False,True,49.447,"LINESTRING (-44.4898038 -20.3940851, -44.4902161 -20.3938651)",,,
477896420,,Rua Marechal Deodoro da Fonseca,residential,False,False,141.385,"LINESTRING (-44.4897987 -20.3946172, -44.4884945 -20.394967)",,,
419808718,,Rua Pedro Rosa das Chagas,residential,True,False,38.012,"LINESTRING (-44.4897987 -20.3946172, -44.4898564 -20.3947847, -44.4899332 -20.3949341)",,,
419808729,,,residential,False,True,49.26,"LINESTRING (-44.489458 -20.3914714, -44.4894609 -20.3910284)",,,
1056287021,,Rua Doutor Jacy de Moraes Lima,residential,False,False,90.162,"LINESTRING (-44.489458 -20.3914714, -44.4885995 -20.391571)",,,
1056287021,,Rua Doutor Jacy de Moraes Lima,residential,False,True,74.71,"LINESTRING (-44.489458 -20.3914714, -44.490171 -20.3914023)",,,
477896419,,Rua Conquista,residential,False,False,67.866,"LINESTRING (-44.4885995 -20.391571, -44.4887086 -20.3921727)",,,
477896419,,Rua Conquista,residential,False,True,15.686,"LINESTRING (-44.4885995 -20.391571, -44.4885603 -20.3914348)",,,
1056287021,,Rua Doutor Jacy de Moraes Lima,residential,False,True,90.162,"LINESTRING (-44.4885995 -20.391571, -44.489458 -20.3914714)",,,
419808728,,Avenida Doutor Antônio Geraldo de Oliveira,secondary,True,False,139.326,"LINESTRING (-44.4906373 -20.3909383, -44.4904079 -20.3907552, -44.4902241 -20.3906579, -44.4900601 -20.3905885, -44.4897143 -20.3904523, -44.4894584 -20.3903736)",,,
419808730,,Rua Leandro Gomes,residential,False,True,96.07300000000001,"LINESTRING (-44.4906373 -20.3909383, -44.491124 -20.390401, -44.4912495 -20.3902938)",,,
419808729,,,residential,False,False,72.811,"LINESTRING (-44.4894584 -20.3903736, -44.4894609 -20.3910284)",,,
419808728,,Avenida Doutor Antônio Geraldo de Oliveira,secondary,True,False,107.157,"LINESTRING (-44.4894584 -20.3903736, -44.4888617 -20.3902588, -44.4884497 -20.3901875)",,,
419808728,,Avenida Doutor Antônio Geraldo de Oliveira,secondary,True,False,85.109,"LINESTRING (-44.4881997 -20.3901467, -44.487398 -20.3900013)",,,
503138718,,Rua Joaquim Murtinho,tertiary,False,True,142.822,"LINESTRING (-44.4881997 -20.3901467, -44.4888713 -20.3898283, -44.4889578 -20.389783, -44.4890122 -20.3897324, -44.4890356 -20.389699, -44.4890596 -20.3896332, -44.4891105 -20.3893322)",,,
419808728,,Avenida Doutor Antônio Geraldo de Oliveira,secondary,True,False,16.219,"LINESTRING (-44.487398 -20.3900013, -44.4872434 -20.3899847)",,,
467330614,,Rua Antônio Pacheco,tertiary,True,False,148.909,"LINESTRING (-44.4872434 -20.3899847, -44.4871633 -20.3899312, -44.4870754 -20.3898504, -44.48701 -20.3897592, -44.4869667 -20.3896522, -44.4868877 -20.3894253, -44.4868269 -20.3892952, -44.4867751 -20.3892415, -44.4867183 -20.3892114, -44.4865839 -20.3891641, -44.4863152 -20.3891063)",,,
477896444,,,secondary,True,False,44.626,"LINESTRING (-44.4872434 -20.3899847, -44.4871584 -20.3902078, -44.487108 -20.3903653)",,,
419808738,,Rua Mário Lima,secondary,False,True,12.995,"LINESTRING (-44.4866307 -20.3921995, -44.4865066 -20.3922108)",,,
546418907,,Rua Mário Lima,residential,False,False,78.613,"LINESTRING (-44.4866307 -20.3921995, -44.4873781 -20.3921044)",,,
419808735,,Rua Maria Felizarda,residential,False,True,30.46,"LINESTRING (-44.4873781 -20.3921044, -44.4874035 -20.3923773)",,,
467330620,,,residential,True,False,66.661,"LINESTRING (-44.4873781 -20.3921044, -44.4873893 -20.391505)",,,
546418907,,Rua Mário Lima,residential,False,True,78.613,"LINESTRING (-44.4873781 -20.3921044, -44.4866307 -20.3921995)",,,
419808727,,Rua Doutor Jacy de Moraes Lima,residential,False,False,77.634,"LINESTRING (-44.4917955 -20.3912405, -44.4910564 -20.3913271)",,,
419808727,,Rua Doutor Jacy de Moraes Lima,residential,False,True,48.58,"LINESTRING (-44.4917955 -20.3912405, -44.492258 -20.3911863)",,,
419808732,,Rua Antônio de Morais Lara,residential,False,False,37.076,"LINESTRING (-44.4917955 -20.3912405, -44.4916226 -20.3909491)",,,
419808730,,Rua Leandro Gomes,residential,False,True,72.397,"LINESTRING (-44.4912495 -20.3902938, -44.4917848 -20.3898789)",,,
419808732,,Rua Antônio de Morais Lara,residential,False,False,119.833,"LINESTRING (-44.4912495 -20.3902938, -44.4907023 -20.389346)",,,
419808730,,Rua Leandro Gomes,residential,False,False,96.07300000000001,"LINESTRING (-44.4912495 -20.3902938, -44.491124 -20.390401, -44.4906373 -20.3909383)",,,
419808732,,Rua Antônio de Morais Lara,residential,False,True,82.601,"LINESTRING (-44.4912495 -20.3902938, -44.4914694 -20.390691, -44.4916226 -20.3909491)",,,
419808739,,Rua Coronel Frazão,residential,False,False,167.663,"LINESTRING (-44.4882829 -20.3937683, -44.4879963 -20.3922846)",,,
419808739,,Rua Coronel Frazão,residential,False,True,85.208,"LINESTRING (-44.4882829 -20.3937683, -44.4884125 -20.3945249)",,,
"[477896418, 419808735]",,"['Rua Maria Felizarda', 'Rua dos Marras']",residential,False,False,65.947,"LINESTRING (-44.4882829 -20.3937683, -44.4881431 -20.3938139, -44.4881171 -20.393814, -44.4880774 -20.3937945, -44.4880558 -20.3937793, -44.4880453 -20.3937692, -44.4878431 -20.3934767)",,,
"[477896418, 477896419]",,"['Rua Conquista', 'Rua dos Marras']",residential,False,True,220.66700000000003,"LINESTRING (-44.4882829 -20.3937683, -44.4888145 -20.3935729, -44.4888684 -20.3935429, -44.4888888 -20.3935181, -44.4889 -20.3934794, -44.4888929 -20.3933964, -44.4887086 -20.3921727)",,,
419808735,,Rua Maria Felizarda,residential,False,False,132.265,"LINESTRING (-44.4878431 -20.3934767, -44.4876652 -20.3932323, -44.4875817 -20.3930586, -44.487432 -20.3925768, -44.4874035 -20.3923773)",,,
"[477896418, 419808735]",,"['Rua dos Marras', 'Rua Maria Felizarda']",residential,False,True,65.947,"LINESTRING (-44.4878431 -20.3934767, -44.4880453 -20.3937692, -44.4880558 -20.3937793, -44.4880774 -20.3937945, -44.4881171 -20.393814, -44.4881431 -20.3938139, -44.4882829 -20.3937683)",,,
419808736,,Rua Teofilo Otone da Cunha,residential,False,False,186.992,"LINESTRING (-44.4878431 -20.3934767, -44.4872691 -20.3936463, -44.4871307 -20.3936748, -44.4870243 -20.3936817, -44.4869151 -20.3936791, -44.4866546 -20.3936525, -44.4860851 -20.3935963)",,,
419808737,,Praça Antônio Ferreira de Morais,secondary,True,False,17.998,"LINESTRING (-44.4863554 -20.3923302, -44.486331 -20.3923096, -44.4863148 -20.3922829, -44.4863082 -20.3922501, -44.486314 -20.3922171, -44.4863314 -20.3921878)",,roundabout,
467330597,,Rua dos Passos,secondary,True,False,145.027,"LINESTRING (-44.4863554 -20.3923302, -44.4862337 -20.3925867, -44.4861906 -20.3926908, -44.4861687 -20.3927724, -44.4861211 -20.3931699, -44.4860851 -20.3935963)",,,
419808737,,Praça Antônio Ferreira de Morais,secondary,True,False,22.018,"LINESTRING (-44.4863314 -20.3921878, -44.4863583 -20.3921659, -44.4863917 -20.3921539, -44.4864274 -20.3921532, -44.4864611 -20.3921639, -44.486489 -20.3921848, -44.4865066 -20.3922108)",,roundabout,
