osmid,oneway,name,highway,reversed,length,maxspeed,geometry
423793504,False,,residential,False,33.033,,"LINESTRING (-38.3605943 -11.7960523, -38.3608753 -11.7959401)"
423793504,False,,residential,True,33.503,,"LINESTRING (-38.3605943 -11.7960523, -38.360301 -11.7961437)"
424243766,False,,residential,False,93.501,,"LINESTRING (-38.3563815 -11.7934505, -38.3555232 -11.7934847)"
792777198,False,,residential,False,53.616,,"LINESTRING (-38.3563815 -11.7934505, -38.3562398 -11.7929887)"
792777198,False,,residential,True,50.677,,"LINESTRING (-38.3563815 -11.7934505, -38.3565423 -11.7938782)"
363782397,False,Rua Abdon Guerra,residential,False,71.119,,"LINESTRING (-38.356525 -11.7898036, -38.3563896 -11.7900071, -38.3562742 -11.7901541, -38.3561334 -11.7903143)"
363782397,False,Rua Abdon Guerra,residential,True,47.973,,"LINESTRING (-38.356525 -11.7898036, -38.3565813 -11.7896434, -38.3566591 -11.7893927)"
403526691,False,Rua Otaciano Oliveira,residential,False,137.32,,"LINESTRING (-38.356525 -11.7898036, -38.3568093 -11.7898771, -38.3570829 -11.7899388, -38.3577466 -11.7901115)"
403526691,False,Rua Otaciano Oliveira,residential,False,88.988,,"LINESTRING (-38.3577466 -11.7901115, -38.3585349 -11.7903236)"
403526692,False,Praça Cândido Neri,residential,True,93.263,,"LINESTRING (-38.3577466 -11.7901115, -38.3579753 -11.7893032)"
403526691,False,Rua Otaciano Oliveira,residential,True,137.32,,"LINESTRING (-38.3577466 -11.7901115, -38.3570829 -11.7899388, -38.3568093 -11.7898771, -38.356525 -11.7898036)"
402108882,False,,residential,True,102.33,,"LINESTRING (-38.3590879 -11.7948106, -38.358939 -11.794569, -38.3588485 -11.7944128, -38.3588237 -11.7943564, -38.358823 -11.7943229, -38.358831 -11.7942927, -38.3588612 -11.7942618, -38.3590932 -11.794082)"
403526699,False,Rua Albertina Leal da Rocha,residential,False,15.906,40,"LINESTRING (-38.3554629 -11.7945795, -38.3555983 -11.7945257)"
403526699,False,Rua Albertina Leal da Rocha,residential,True,18.288,40,"LINESTRING (-38.3554629 -11.7945795, -38.3552949 -11.7945776)"
424243771,False,Rua Albertina Leal da Rocha,residential,True,26.148,40,"LINESTRING (-38.3554629 -11.7945795, -38.3555157 -11.7948089)"
424243767,False,Praça Santa Isabel,residential,False,68.331,,"LINESTRING (-38.355253 -11.7904784, -38.3553133 -11.790521, -38.3553502 -11.7905597, -38.3553696 -11.7906077, -38.3553797 -11.7906818, -38.3553824 -11.7910442)"
402108875,False,Rua Otaciano Oliveira,residential,False,81.542,,"LINESTRING (-38.3579753 -11.7893032, -38.3586979 -11.7894966)"
402108875,False,Rua Otaciano Oliveira,residential,True,135.765,,"LINESTRING (-38.3579753 -11.7893032, -38.3567825 -11.7889463)"
403526692,False,Praça Cândido Neri,residential,False,93.263,,"LINESTRING (-38.3579753 -11.7893032, -38.3577466 -11.7901115)"
402108872,False,,residential,False,70.092,,"LINESTRING (-38.3602871 -11.7954983, -38.3605943 -11.7960523)"
402108881,False,,residential,False,15.368,,"LINESTRING (-38.3602871 -11.7954983, -38.3604103 -11.7954308)"
402108881,False,,residential,True,34.706,,"LINESTRING (-38.3602871 -11.7954983, -38.36001 -11.7956527)"
363782026,False,Rua Albertina Leal da Rocha,residential,True,94.519,40,"LINESTRING (-38.3565423 -11.7938782, -38.357235 -11.7933656)"
792777198,False,,residential,False,50.677,,"LINESTRING (-38.3565423 -11.7938782, -38.3563815 -11.7934505)"
792777198,False,,residential,True,55.863,,"LINESTRING (-38.3565423 -11.7938782, -38.356726 -11.7943473)"
424243766,False,,residential,True,93.501,,"LINESTRING (-38.3555232 -11.7934847, -38.3563815 -11.7934505)"
403526699,False,Rua Albertina Leal da Rocha,residential,True,123.19900000000001,40,"LINESTRING (-38.3555232 -11.7934847, -38.3555594 -11.7936645, -38.3555903 -11.7937669, -38.3556412 -11.7939218, -38.3556828 -11.7941516, -38.3557056 -11.7943117, -38.3557096 -11.7943931, -38.3556868 -11.7944548, -38.3556613 -11.794485, -38.3555983 -11.7945257)"
424243771,False,Rua Albertina Leal da Rocha,residential,False,26.148,40,"LINESTRING (-38.3555157 -11.7948089, -38.3554629 -11.7945795)"
424243771,False,Rua Albertina Leal da Rocha,residential,True,80.229,40,"LINESTRING (-38.3555157 -11.7948089, -38.3557111 -11.7955046)"
505643937,False,Rua Albertina Leal da Rocha,residential,True,31.164,40,"LINESTRING (-38.3555157 -11.7948089, -38.3557767 -11.7946937)"
792777198,False,,residential,False,26.316,,"LINESTRING (-38.3576177 -11.7959992, -38.3574919 -11.7957971)"
792777198,False,,residential,True,44.817,,"LINESTRING (-38.3576177 -11.7959992, -38.3578474 -11.7963337)"
831227886,False,Praça Fancisco Pinto,residential,False,103.411,,"LINESTRING (-38.3561334 -11.7903143, -38.355538 -11.7895896)"
831227886,False,Praça Fancisco Pinto,residential,True,32.47,,"LINESTRING (-38.3561334 -11.7903143, -38.3562968 -11.7905586)"
363782397,False,Rua Abdon Guerra,residential,True,71.119,,"LINESTRING (-38.3561334 -11.7903143, -38.3562742 -11.7901541, -38.3563896 -11.7900071, -38.356525 -11.7898036)"
363782397,False,Rua Abdon Guerra,residential,False,78.036,,"LINESTRING (-38.3569649 -11.7882676, -38.3567825 -11.7889463)"
381988091,False,,residential,False,131.995,,"LINESTRING (-38.3569649 -11.7882676, -38.3558035 -11.7879262)"
381988091,False,,residential,True,215.748,,"LINESTRING (-38.3569649 -11.7882676, -38.3572049 -11.7883372, -38.357787 -11.7884894, -38.3588733 -11.7887914)"
363782397,False,Rua Abdon Guerra,residential,False,51.423,,"LINESTRING (-38.3567825 -11.7889463, -38.3566591 -11.7893927)"
363782397,False,Rua Abdon Guerra,residential,True,78.036,,"LINESTRING (-38.3567825 -11.7889463, -38.3569649 -11.7882676)"
402108875,False,Rua Otaciano Oliveira,residential,False,135.765,,"LINESTRING (-38.3567825 -11.7889463, -38.3579753 -11.7893032)"
424243765,False,,residential,False,61.904,,"LINESTRING (-38.3619069 -11.7888163, -38.3613382 -11.7888124)"
424243765,False,,residential,True,73.393,,"LINESTRING (-38.3619069 -11.7888163, -38.3625586 -11.788647)"
424336697,False,,residential,True,44.863,,"LINESTRING (-38.3619069 -11.7888163, -38.3618894 -11.7892194)"
424336697,False,,residential,False,44.863,,"LINESTRING (-38.3618894 -11.7892194, -38.3619069 -11.7888163)"
424243774,False,,residential,False,45.354,,"LINESTRING (-38.3618894 -11.7892194, -38.3616266 -11.7892601, -38.3614804 -11.7892955)"
424243774,False,,residential,True,214.86700000000002,,"LINESTRING (-38.3618894 -11.7892194, -38.362501 -11.7890776, -38.3629972 -11.7889699, -38.363142 -11.7889279, -38.3633445 -11.7888386, -38.3635631 -11.788731, -38.3637656 -11.7886483)"
424336709,False,,residential,True,56.094,,"LINESTRING (-38.3613127 -11.7877372, -38.3607985 -11.7877706)"
423793530,False,,residential,True,119.644,,"LINESTRING (-38.3613127 -11.7877372, -38.3613329 -11.7880103, -38.3613302 -11.788198, -38.3613382 -11.7888124)"
381988084,False,,residential,False,80.706,,"LINESTRING (-38.3586979 -11.7894966, -38.3588733 -11.7887914)"
381988084,False,,residential,True,93.654,,"LINESTRING (-38.3586979 -11.7894966, -38.3585349 -11.7903236)"
402108875,False,Rua Otaciano Oliveira,residential,True,81.542,,"LINESTRING (-38.3586979 -11.7894966, -38.3579753 -11.7893032)"
423793530,False,,residential,True,50.204,,"LINESTRING (-38.3613382 -11.7888124, -38.3613047 -11.7892627)"
424243765,False,,residential,True,61.904,,"LINESTRING (-38.3613382 -11.7888124, -38.3619069 -11.7888163)"
