osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,junction
1110505040,SC-443,Rodovia Gregório Espíndola,primary,False,True,39.791,"LINESTRING (-49.1249079 -28.6406792, -49.1248518 -28.640618, -49.1247882 -28.6405455, -49.1246942 -28.640424, -49.1246747 -28.6403868)",2,80,,
449293415,,Rua José Silveira Goulart,tertiary,True,False,25.341,"LINESTRING (-49.131134 -28.6369358, -49.1311072 -28.63705, -49.131125 -28.6371602)",,,,
"[941832257, 438003276]",,Rua José Silveira Goulart,tertiary,False,True,27.304,"LINESTRING (-49.131134 -28.6369358, -49.1311795 -28.6368308, -49.1312183 -28.6367573, -49.1312258 -28.6367055)",,,yes,
1110505038,SC-443,Rodovia Flávio Flores Lopes,primary,False,True,34.507,"LINESTRING (-49.124122 -28.6397019, -49.12386 -28.6394935)",2,80,,
1002761218,SC-443,Rodovia Flávio Flores Lopes,primary,True,False,41.553000000000004,"LINESTRING (-49.124122 -28.6397019, -49.124221 -28.6397478, -49.1243108 -28.6397962, -49.1243524 -28.6398183, -49.1243966 -28.6398362, -49.1244494 -28.6398513, -49.124504 -28.6398605)",2,80,,
325525838,,Rua 27 de Setembro,secondary,False,False,75.402,"LINESTRING (-49.1259951 -28.6392782, -49.1265528 -28.6388089)",2,50,,
436801550,,Rua Jonas Goulart,residential,False,False,118.122,"LINESTRING (-49.1259951 -28.6392782, -49.1255625 -28.6389223, -49.1249639 -28.6387895)",,,,
1110505039,,Rua 27 de Setembro,secondary,False,True,114.622,"LINESTRING (-49.1259951 -28.6392782, -49.1257928 -28.6394337, -49.1254482 -28.639701, -49.1253367 -28.6397649, -49.1252094 -28.6398172, -49.1251099 -28.6398469, -49.1250462 -28.6398648)",2,50,,
436801550,,Rua Jonas Goulart,residential,False,False,67.346,"LINESTRING (-49.1236049 -28.6386159, -49.123506 -28.6392153)",,,,
436801550,,Rua Jonas Goulart,residential,False,True,134.326,"LINESTRING (-49.1236049 -28.6386159, -49.1245011 -28.6386915, -49.1249639 -28.6387895)",,,,
888661108,,,residential,False,True,211.522,"LINESTRING (-49.1236049 -28.6386159, -49.1240042 -28.6370825, -49.1241298 -28.6369704, -49.1242762 -28.6368559)",,,,
