osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge
287418740,False,2,Rua Júlio de Castilhos,tertiary,False,160.126,"LINESTRING (-52.680611 -31.40206, -52.67932 -31.4011329)",,
287979428,False,2,Rua Barão do Triunfo,residential,False,57.694,"LINESTRING (-52.680611 -31.40206, -52.6806641 -31.4020075, -52.6810083 -31.4016673)",,
287979428,False,2,Rua Barão do Triunfo,residential,True,56.793,"LINESTRING (-52.680611 -31.40206, -52.6805671 -31.4021041, -52.6802235 -31.4024492)",,
287979428,False,2,Rua Barão do Triunfo,residential,False,5.185,"LINESTRING (-52.6810083 -31.4016673, -52.681044 -31.401632)",,
287418391,True,1,Rua General Osório,secondary,False,158.247,"LINESTRING (-52.6810083 -31.4016673, -52.6802067 -31.4010785, -52.6797449 -31.4007386)",40,
287979428,False,2,Rua Barão do Triunfo,residential,True,57.694,"LINESTRING (-52.6810083 -31.4016673, -52.6806641 -31.4020075, -52.680611 -31.40206)",,
330257529,False,,Rua General Câmara,residential,False,158.6,"LINESTRING (-52.6814188 -31.4012496, -52.6801374 -31.4003341)",,
287979428,False,2,Rua Barão do Triunfo,residential,False,63.245,"LINESTRING (-52.6814188 -31.4012496, -52.6814676 -31.4012017, -52.6818558 -31.4008202)",,
287979428,False,2,Rua Barão do Triunfo,residential,True,55.43899999999999,"LINESTRING (-52.6814188 -31.4012496, -52.6813793 -31.4012899, -52.681044 -31.401632)",,
287418038,True,1,Rua Dom Otaviano,tertiary,False,69.54,"LINESTRING (-52.6818558 -31.4008202, -52.6813055 -31.4004073)",,
287979428,False,2,Rua Barão do Triunfo,residential,False,9.026,"LINESTRING (-52.6818558 -31.4008202, -52.6819169 -31.400758)",,
287979428,False,2,Rua Barão do Triunfo,residential,True,63.245,"LINESTRING (-52.6818558 -31.4008202, -52.6814676 -31.4012017, -52.6814188 -31.4012496)",,
287979564,False,,Rua Duque de Caxias,residential,False,54.102,"LINESTRING (-52.6774934 -31.400501, -52.6770937 -31.4008479)",,
1146495418,False,2,Rua Silva Tavares,tertiary,False,12.871,"LINESTRING (-52.6774934 -31.400501, -52.6773955 -31.4004209)",,
1146495418,False,2,Rua Silva Tavares,tertiary,True,177.61700000000002,"LINESTRING (-52.6774934 -31.400501, -52.6788789 -31.4014821, -52.6789337 -31.4015209)",,
287419491,False,,Rua Bento Gonçalves,residential,True,31.997,"LINESTRING (-52.6760718 -31.4016823, -52.6763226 -31.4018746)",,
322208458,False,,Rua Duque de Caxias,residential,False,49.348,"LINESTRING (-52.6760718 -31.4016823, -52.675646 -31.401937)",,
"[287419491, 955255383]",False,,Rua Bento Gonçalves,residential,"[False, True]",199.11300000000003,"LINESTRING (-52.6760718 -31.4016823, -52.6754549 -31.4012279, -52.6754194 -31.401221, -52.6753865 -31.4012347, -52.6750834 -31.4014488, -52.67507 -31.4014969, -52.6750968 -31.4015427, -52.6753235 -31.4017201, -52.6754583 -31.4018345, -52.6755736 -31.4019751)",,
"[322208456, 322208457, 322208458]",False,,Rua Duque de Caxias,residential,True,68.19,"LINESTRING (-52.6760718 -31.4016823, -52.6762046 -31.4015896, -52.6763335 -31.401462, -52.6765405 -31.4012216)",,yes
322208351,False,,Rua Coronel Genes Bento,residential,True,38.343,"LINESTRING (-52.6808398 -31.3983013, -52.6804438 -31.3983695)",,
322208351,False,,Rua Coronel Genes Bento,residential,False,38.343,"LINESTRING (-52.6804438 -31.3983695, -52.6808398 -31.3983013)",,
322208351,False,,Rua Coronel Genes Bento,residential,True,69.287,"LINESTRING (-52.6804438 -31.3983695, -52.679725 -31.3984783)",,
346546492,False,,Rua Jesus Moreira Bento,residential,False,130.291,"LINESTRING (-52.6804438 -31.3983695, -52.6803701 -31.3979929, -52.6803339 -31.3978292, -52.680252 -31.3976117, -52.6801313 -31.3972305)",,
287980206,False,,Rua Professor André Puente,residential,False,70.265,"LINESTRING (-52.6799396 -31.3964304, -52.6792113 -31.3965437)",,
287980206,False,,Rua Professor André Puente,residential,True,12.68,"LINESTRING (-52.6799396 -31.3964304, -52.680071 -31.3964098)",,
346546492,False,,Rua Jesus Moreira Bento,residential,True,91.013,"LINESTRING (-52.6799396 -31.3964304, -52.6799771 -31.3965082, -52.6799999 -31.3965872, -52.6801313 -31.3972305)",,
