osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
1214608604,False,2,Arturo Prat,secondary,50,False,153.479,,"LINESTRING (-72.9509716 -39.6641852, -72.9509895 -39.6641465, -72.951551 -39.6629308, -72.9515723 -39.6628847)"
"[1214895264, 1214895265]",False,2,Arturo Prat,secondary,50,True,117.922,,"LINESTRING (-72.9509716 -39.6641852, -72.9505607 -39.6650942, -72.9505393 -39.665141, -72.9505185 -39.6651867)"
162097444,False,2,Chacabuco,residential,50,True,61.028,,"LINESTRING (-72.952592 -39.6696245, -72.9526236 -39.6690762)"
665679911,False,2,General Carol Urzúa,residential,50,False,194.615,,"LINESTRING (-72.952592 -39.6696245, -72.9525313 -39.6696252, -72.9523551 -39.6696273, -72.9522319 -39.6695822, -72.9515079 -39.6689068, -72.9510792 -39.6685069, -72.9510224 -39.6684539)"
665679911,False,2,General Carol Urzúa,residential,50,True,122.83500000000001,,"LINESTRING (-72.952592 -39.6696245, -72.9526577 -39.6696257, -72.9539691 -39.6696504, -72.9540267 -39.6696515)"
162097448,False,2,Darío Salas,residential,50,False,60.257,,"LINESTRING (-72.9540267 -39.6696515, -72.9540286 -39.6691096)"
665679911,False,2,General Carol Urzúa,residential,50,False,122.83500000000001,,"LINESTRING (-72.9540267 -39.6696515, -72.9539691 -39.6696504, -72.9526577 -39.6696257, -72.952592 -39.6696245)"
84198425,False,2,Arturo Prat,residential,50,False,76.703,,"LINESTRING (-72.9515831 -39.6616077, -72.9518101 -39.662275)"
361417774,False,2,Arturo Prat,residential,50,False,79.964,,"LINESTRING (-72.9515831 -39.6616077, -72.9514604 -39.6623206)"
162097445,False,2,Juan Verdaguer,tertiary,50,False,36.419,,"LINESTRING (-72.948211 -39.6615831, -72.9485798 -39.6617464)"
1110032635,False,2,Presidente Kennedy,residential,50,False,30.898,,"LINESTRING (-72.948211 -39.6615831, -72.9481866 -39.6616153, -72.9480293 -39.6618232)"
162097445,False,2,Juan Verdaguer,tertiary,50,True,101.69,,"LINESTRING (-72.9503073 -39.6625112, -72.9502237 -39.6624742, -72.9501742 -39.6624523, -72.9492777 -39.662055)"
974062747,False,2,Avenida Pedro de Valdivia,secondary,50,True,456.782,T-346,"LINESTRING (-72.9503073 -39.6625112, -72.9502683 -39.6625924, -72.9499816 -39.6631901, -72.9491656 -39.6648908, -72.9488326 -39.6655848, -72.9486319 -39.666003, -72.9484584 -39.6663647)"
